ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΔΡΙΑΝΟΣ ΙΩΑΝΝΗΣ του Σωτηρίου,ΔΩΡΟΒΙΝΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΜΠΟΥΝΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΤΑΝΤΑΡΟΥ-ΚΡΙΓΓΟΥ ΘΕΟΔΟΣΙΑ (ΣΟΝΙΑ) του Δημητρίου,ΣΥΡΙΖΑ,ΓΑΒΡΗΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ (ΣΠΗΛΙΑ) του Χαράλαμπου,ΠΑΠΑΪΩΑΝΝΟΥ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Γεωργίου,ΣΚΟΥΡΤΗ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Δημητρίου,ΣΤΕΡΓΙΟΥ ΓΕΩΡΓΙΟΣ του Χρήστου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΕΥΑΓΓΕΛΙΝΟΥ ΣΤΑΥΡΟΥΛΑ - ΕΛΕΝΗ του Αργυρίου,ΖΑΧΑΡΙΟΥΔΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,ΠΟΥΛΑΣ ΑΝΔΡΕΑΣ του Θεοδοσίου,ΧΕΙΒΙΔΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΣΟΣ) του Παναγιώτη,ΨΥΧΟΓΥΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,Κ.Κ.Ε.,ΓΚΟΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΓΚΟΥΒΙΣΗ ΣΤΑΥΡΟΥΛΑ (ΒΟΥΛΑ) του Ιωάννη,ΚΟΛΙΖΕΡΑΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΚΡΟΚΟΣ ΜΙΧΑΗΛ του Φωτίου,ΧΑΤΖΗΑΝΑΣΤΑΣΙΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΛΥΜΝΙΑΤΗΣ ΣΠΥΡΙΔΩΝ του Νικολάου,ΜΑΛΛΙΑΡΑ ΑΝΔΡΙΑΝΑ- ΧΡΙΣΤΙΝΑ του Φωτίου,ΠΛΕΥΡΙΤΗ ΓΕΩΡΓΙΑ του Ιωάννη,ΠΟΪΚΛΗΣ ΔΗΜΗΤΡΙΟΣ του Ευάγγελου,ΣΑΛΑΠΑΤΑΣ ΔΗΜΗΤΡΙΟΣ του Λεωνίδα,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΕΩΡΓΙΟΠΟΥΛΟΥ ΙΟΥΛΙΑ (ΗΛΙΑΝΑ) του Δημητρίου,ΔΑΓΡΕΣ ΞΕΝΟΦΩΝ (ΦΩΝΤΑΣ) του Δημητρίου,ΔΡΟΥΓΚΑΣ ΔΗΜΟΣΘΕΝΗΣ του Κωνσταντίνου,ΜΙΧΑΛΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Διαμαντή,ΣΤΟΓΙΑΝΟΒΙΤΣ ΣΝΕΖΑΝΑ (ΝΕΝΑ) του Ζίβοραντ,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΟΥΡΝΗ ΕΛΕΝΗ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΤΣΑΧΕΙΡΙΔΗΣ ΗΛΙΑΣ του Μιχαήλ,Ο.Κ.Δ.Ε.,ΝΤΙΝΟΠΟΥΛΟΥ ΣΤΑΜΑΤΙΑ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΕΡΔΕ ΕΛΕΝΗ του Παναγιώτη,ΜΠΟΥΓΙΟΥΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Συμεών,ΝΕΖΟΥ ΓΑΡΥΦΑΛΙΑ του Δημητρίου,ΤΟΥΜΠΑΝΟΣ ΠΕΤΡΟΣ του Θεοδώρου,Κίνημα 21,ΜΟΝΑΣΤΗΡΙΩΤΗΣ ΣΤΥΛΙΑΝΟΣ του Αλέξανδρου,ΧΡΥΣΟΣΤΑΛΗ ΚΑΛΛΙΟΠΗ του Κωνσταντίνου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΓΚΙΟΞΑΡΗ ΒΑΡΒΑΡΑ του Ελευθερίου,ΚΑΠΛΑΝΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΣΚΙΚΟΣ ΘΕΟΔΟΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αναστασίου,ΝΙΚΗ,ΖΑΧΟΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΚΑΡΑΧΑΛΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΚΩΤΣΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παύλου,κοινωνία αξιών,ΠΕΤΣΙΩΤΗ ΕΥΔΟΚΙΑ του Γεωργίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΓΚΑΝΑ ΠΑΝΑΓΙΩΤΑ του Ευστάθιου,Ο.Α.Κ.Κ.Ε.,ΒΑΣΙΛΕΙΑΔΗΣ ΠΕΤΡΟΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΣΑΛΑΠΑΤΑΣ ΛΕΩΝΙΔΑΣ του Ανδρέα,Ελλήνων Συνέλευσις,ΓΙΑΝΝΑΚΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Μιχαήλ,ΔΑΓΡΕΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΚΑΚΟΥ ΑΝΝΑ του Γεράσιμου,ΚΑΡΑΜΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ του Αναστάσιου,ΤΖΑΝΟΣ ΑΛΚΙΒΙΑΔΗΣ του Βασιλείου,Ένωση Κεντρώων,ΚΑΡΑΚΩΣΤΗΣ ΜΕΡΚΟΥΡΙΟΣ του Στέργιου,ΚΟΥΡΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,ΣΤΑΘΗ ΓΡΗΓΟΡΙΑ του Χαράλαμπου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΕΡΓΑΔΟΥ ΔΗΜΗΤΡΑ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΙΩΑΝΝΟΥ ΕΥΣΤΑΘΙΟΣ του Ιωάννη,ΚΑΛΟΓΕΡΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Παύλου,ΣΠΑΡΟΥ ΓΑΡΥΦΑΛΛΙΑ του Νικολάου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΟΡΔΑΛΗ ΜΑΡΙΑ του Κυριάκου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΣΤΑΪΚΟΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΟΥΦΑΚΟΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,ΕΑΝ...,ΤΣΕΝΤΟΥΡΟΥ ΑΙΜΙΛΙΑ του Αθανασίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΙΑΚΗ ΜΑΡΙΑ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Περικλή
44 - Αργολίδος,1 E.T. Δήμου Άργους - Μυκηνών,58,14,0,0,0,14,9,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44 - Αργολίδος,2 E.T. Δήμου Άργους - Μυκηνών,86,30,0,0,0,30,18,12,0,1,0,2,2,1,0,0,0,0,8,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 - Αργολίδος,3 E.T. Δήμου Άργους - Μυκηνών,177,61,0,0,0,61,32,16,0,0,3,8,11,6,0,0,2,0,6,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1
44 - Αργολίδος,4 E.T. Δήμου Άργους - Μυκηνών,328,61,1,1,2,59,34,10,4,1,7,7,2,0,0,0,1,0,10,0,0,4,0,5,0,0,0,0,0,0,6,2,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1
44 - Αργολίδος,5 E.T. Δήμου Άργους - Μυκηνών,581,201,3,0,3,198,90,37,6,3,8,27,46,7,1,20,1,1,42,0,2,15,6,16,4,2,0,1,0,0,4,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44 - Αργολίδος,6 E.T. Δήμου Άργους - Μυκηνών,153,74,0,0,0,74,34,6,7,6,5,9,6,2,1,0,0,0,10,0,0,1,1,7,2,1,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,5,4
44 - Αργολίδος,7 E.T. Δήμου Άργους - Μυκηνών,454,307,9,3,12,295,109,30,14,1,31,25,62,18,5,18,1,5,32,0,0,14,4,11,21,6,3,5,2,3,16,6,2,0,0,5,10,5,2,1,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,3,0,2,0,17,9,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,2,0,2,1,1,0,2,0,0,0,0,0,7,2
44 - Αργολίδος,8 E.T. Δήμου Άργους - Μυκηνών,498,326,4,1,5,321,132,33,14,4,34,41,54,13,4,26,3,2,63,2,1,34,9,11,17,2,4,3,4,2,6,2,0,0,0,4,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,0,4,0,24,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,3,3,1,0,0,0,0,0,3,1
44 - Αργολίδος,9 E.T. Δήμου Άργους - Μυκηνών,477,335,6,1,7,328,152,44,5,5,62,30,55,15,3,26,2,3,44,0,0,13,6,25,8,3,1,1,1,1,10,5,1,1,0,1,19,0,12,0,2,1,1,0,0,0,0,0,1,1,0,0,0,4,2,2,5,1,1,1,13,3,3,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,2,2,0,0,1,1,2,2,0,0,1,1,0,0,7,5
44 - Αργολίδος,10 E.T. Δήμου Άργους - Μυκηνών,504,313,4,1,5,308,127,40,14,9,31,23,62,11,8,33,3,6,44,2,2,13,8,18,17,1,3,1,1,0,15,2,5,0,0,6,13,0,7,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,12,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,0,1,0,0,0,1,1,2,2,0,0,0,0,8,7
44 - Αργολίδος,11 E.T. Δήμου Άργους - Μυκηνών,529,339,4,3,7,332,159,44,13,7,39,51,68,18,7,35,2,1,35,0,0,12,8,14,11,4,2,1,0,0,13,3,3,0,0,5,4,0,0,1,1,0,2,2,0,0,0,0,2,0,1,0,1,1,0,1,1,0,1,0,14,11,3,0,1,1,3,3,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,1,0,0,1,2,1,2,1,2,0,2,0,1,1,5,1
44 - Αργολίδος,12 E.T. Δήμου Άργους - Μυκηνών,438,276,3,1,4,272,112,35,13,1,29,27,55,16,12,16,3,5,39,0,1,20,4,13,7,4,2,0,1,0,10,2,1,0,0,6,11,3,1,0,2,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,15,4,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,3,2,0,0,10,7
44 - Αργολίδος,13 E.T. Δήμου Άργους - Μυκηνών,488,308,8,2,10,298,122,32,13,5,30,32,58,10,6,28,6,1,41,2,1,19,5,12,19,5,1,4,0,2,14,1,2,1,0,5,9,1,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,5,1,2,3,0,2,0,8,2,5,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,3,2,1,1,0,0,1,1,7,6
44 - Αργολίδος,14 E.T. Δήμου Άργους - Μυκηνών,464,305,4,1,5,300,111,20,4,7,38,33,64,17,8,22,2,1,57,0,0,21,11,20,13,4,2,0,0,3,13,4,1,1,2,3,9,1,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,11,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3,2,1,0,0,0,2,1,2,1,2,1,0,0,7,4
44 - Αργολίδος,15 E.T. Δήμου Άργους - Μυκηνών,461,315,7,2,9,306,115,32,9,4,46,20,58,18,4,25,3,1,47,0,0,15,7,23,22,5,8,3,1,1,11,1,1,1,0,8,13,1,5,1,5,1,2,1,0,0,0,0,3,0,0,1,2,3,2,1,1,0,0,0,10,6,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,1,0,0,3,1,1,1,1,1,3,3,8,5
44 - Αργολίδος,16 E.T. Δήμου Άργους - Μυκηνών,464,321,10,2,12,309,122,37,8,2,39,30,75,17,8,39,1,2,44,0,0,22,7,14,13,2,4,2,0,2,6,3,0,0,0,2,10,0,3,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,8,5,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,9,8
44 - Αργολίδος,17 E.T. Δήμου Άργους - Μυκηνών,518,311,8,2,10,301,134,37,8,9,44,30,49,17,6,19,5,1,39,5,0,20,3,9,17,6,4,2,0,2,14,5,1,1,0,6,5,0,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,1,1,2,1,0,0,18,5,8,3,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,3,2,1,0,0,0,8,5
44 - Αργολίδος,18 E.T. Δήμου Άργους - Μυκηνών,457,290,4,0,4,286,109,21,4,1,44,30,42,10,4,20,1,0,49,0,1,16,4,23,27,15,1,1,0,3,5,0,0,1,0,4,6,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,5,2,1,0,1,0,16,6,8,2,0,0,0,0,0,0,0,0,8,2,1,0,0,4,1,0,0,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,2,1,8,5
44 - Αργολίδος,19 E.T. Δήμου Άργους - Μυκηνών,444,275,8,1,9,266,101,31,14,3,22,21,52,15,5,16,7,3,42,2,2,14,11,12,9,4,1,1,0,0,21,7,0,1,0,10,5,0,2,1,2,0,1,1,1,0,0,0,2,0,0,0,1,2,0,2,3,0,1,0,11,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,8,7
44 - Αργολίδος,20 E.T. Δήμου Άργους - Μυκηνών,458,266,7,2,9,257,119,0,0,0,0,0,46,18,1,16,1,3,31,1,0,9,9,11,11,2,0,2,1,2,10,2,0,1,1,5,6,0,1,2,1,0,1,1,0,0,0,0,4,0,1,0,2,4,2,2,0,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,2,2,5,0,1,1,1,1,0,0,2,2,0,0,0,0,5,4
44 - Αργολίδος,21 E.T. Δήμου Άργους - Μυκηνών,452,295,12,2,14,281,118,36,12,7,32,23,46,10,9,19,3,2,47,0,0,16,7,21,11,4,2,0,0,1,5,0,1,0,0,4,7,0,5,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,16,2,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,6,4,5,2,10,6
44 - Αργολίδος,22 E.T. Δήμου Άργους - Μυκηνών,454,302,9,3,12,290,126,40,7,5,31,39,54,15,7,22,4,0,35,0,0,18,2,14,22,5,5,2,0,4,17,3,0,0,0,6,9,2,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,3,0,2,0,9,3,3,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
44 - Αργολίδος,23 E.T. Δήμου Άργους - Μυκηνών,549,364,10,0,10,354,162,32,9,7,48,52,63,16,3,31,6,2,53,2,1,27,6,12,14,3,0,1,1,3,9,4,0,1,0,3,7,0,5,1,1,0,2,0,1,1,0,0,1,0,0,1,0,2,1,0,3,0,1,1,21,9,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,10,4
44 - Αργολίδος,24 E.T. Δήμου Άργους - Μυκηνών,546,346,3,2,5,341,148,47,15,2,46,37,52,17,4,23,3,1,54,0,1,14,14,25,12,3,1,3,0,2,22,8,1,1,0,9,10,0,4,0,4,2,2,0,0,0,0,0,2,0,0,0,2,1,0,0,4,0,1,1,10,4,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,6,0,0,1,2,0,0,0,4,4,3,2,0,0,5,2
44 - Αργολίδος,25 E.T. Δήμου Άργους - Μυκηνών,552,358,18,3,21,337,151,45,10,5,38,46,64,8,10,32,6,1,46,2,0,9,7,23,10,0,3,0,1,1,18,2,1,1,0,12,9,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,14,7,4,3,0,0,1,1,0,0,3,1,1,0,0,0,0,0,2,0,1,0,2,2,3,0,2,1,0,0,1,0,3,2,0,0,1,0,5,3
44 - Αργολίδος,26 E.T. Δήμου Άργους - Μυκηνών,548,360,5,6,11,349,151,34,15,2,41,45,78,27,4,30,1,4,39,2,0,14,7,11,13,3,5,0,0,1,19,0,3,1,0,13,13,1,9,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,14,7,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,3,1,0,1,0,0,3,3,0,0,1,0,0,0,8,3
44 - Αργολίδος,27 E.T. Δήμου Άργους - Μυκηνών,561,344,11,2,13,331,156,30,7,3,60,40,59,16,6,21,4,1,49,2,0,17,11,14,10,2,3,3,1,0,7,2,0,1,0,3,13,1,7,1,2,0,1,1,0,0,0,0,6,1,0,0,3,4,0,2,2,0,0,0,9,3,5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,3,2,0,0,1,0,1,1,4,4
44 - Αργολίδος,28 E.T. Δήμου Άργους - Μυκηνών,552,325,5,5,10,315,129,26,14,7,49,30,70,17,8,30,4,3,44,2,1,13,4,19,12,0,6,3,0,0,10,2,1,1,0,4,7,2,1,2,1,0,2,1,2,2,0,0,2,0,0,0,1,1,0,1,4,0,1,1,14,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,1,4,4,1,1,0,0,8,7
44 - Αργολίδος,29 E.T. Δήμου Άργους - Μυκηνών,522,315,6,2,8,307,127,24,5,6,40,47,32,6,6,15,2,2,57,1,0,28,4,19,19,5,3,7,0,0,18,4,4,2,0,6,7,1,4,0,0,0,3,2,0,0,1,1,0,0,0,0,0,3,0,3,6,0,4,0,20,8,9,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,1,1,0,0,0,1,0,2,1,1,1,0,0,3,1
44 - Αργολίδος,30 E.T. Δήμου Άργους - Μυκηνών,534,342,7,3,10,332,166,36,13,13,38,56,58,18,7,21,2,0,43,1,0,14,9,16,9,3,1,1,1,2,6,0,1,0,0,4,11,2,4,1,2,0,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,11,1,5,4,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,5,2,2,0,1,0,3,1,1,1,1,0,0,0,9,6
44 - Αργολίδος,31 E.T. Δήμου Άργους - Μυκηνών,530,349,10,2,12,337,133,26,10,10,34,43,48,14,5,12,4,3,61,1,0,27,11,18,19,2,10,4,0,1,27,7,3,3,0,6,15,1,4,3,2,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,1,1,0,0,11,1,6,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,9,3
44 - Αργολίδος,32 E.T. Δήμου Άργους - Μυκηνών,547,333,3,1,4,329,148,45,8,8,30,49,55,20,10,13,3,2,46,2,0,19,8,17,10,1,2,3,0,1,16,4,4,0,0,5,11,3,3,0,3,1,3,1,2,1,0,0,1,0,1,0,0,3,1,2,6,2,3,0,13,3,3,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,3,1,0,0,0,0,1,1,0,0,2,2,4,4
44 - Αργολίδος,33 E.T. Δήμου Άργους - Μυκηνών,544,338,5,2,7,331,126,26,9,6,36,36,67,16,13,22,4,4,54,2,2,21,10,17,14,8,1,2,0,0,8,4,1,0,0,2,11,0,6,4,1,0,1,0,1,0,0,0,4,0,0,0,1,4,1,2,2,0,1,0,19,7,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,14,8
44 - Αργολίδος,34 E.T. Δήμου Άργους - Μυκηνών,547,341,10,3,13,328,152,33,9,4,54,45,62,19,11,15,9,0,46,2,0,19,15,9,10,1,6,2,0,1,9,2,0,2,0,4,10,1,3,1,3,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,17,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,1,3,3,0,0,0,0,1,1,8,5
44 - Αργολίδος,35 E.T. Δήμου Άργους - Μυκηνών,535,344,8,3,11,333,137,46,13,8,33,29,63,23,12,16,2,1,49,0,0,0,0,0,17,3,3,3,1,1,19,1,1,0,0,11,8,2,4,0,1,0,1,1,0,0,0,0,3,0,0,0,3,6,3,3,0,0,0,0,13,3,9,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,9,5
