ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΩΤΣΗΡΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΛΙΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΜΠΑΡΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΜΠΟΥΡΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΠΑΝΟΗΛΙΑ ΜΑΡΙΑ του Χρήστου,ΠΟΥΛΗΣ ΣΤΑΜΑΤΙΟΣ του Κυριάκου,ΣΥΡΙΖΑ,ΒΟΥΤΥΡΑΚΟΥ ΔΙΑΛΕΚΤΗ ΑΘΗΝΑ (ΔΙΑΝΑ) του Κωνσταντίνου,ΝΕΦΕΛΟΥΔΗΣ ΑΝΔΡΕΑΣ του Παύλου,ΠΑΝΤΖΑΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνα Αριστοτέλη,ΠΑΠΠΑ ΠΑΝΑΓΙΩΤΑ του Χαράλαμπου,ΣΤΕΦΑΤΟΥ ΔΙΟΝΥΣΙΑ του Παναγή,ΤΣΙΠΡΑΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΚΑΜΙΩΤΑΚΗ ΜΑΡΓΑΡΙΤΑ του Κωνσταντίνου,ΒΟΥΓΙΑΝΤΖΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΠΕΡΟΥΚΙΔΟΥ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Παντελή,ΣΤΑΜΟΥ ΔΗΜΗΤΡΙΟΣ του Σπυρίδωνος,ΥΨΗΛΑΝΤΗΣ ΑΝΤΩΝΙΟΣ του Γεωργίου,ΧΑΤΖΗΛΕΡΗΣ ΚΥΡΙΑΚΟΣ του Γεωργίου,Κ.Κ.Ε.,ΓΚΙΝΗΣ ΕΥΑΓΓΕΛΟΣ του Παναγιώτη,ΘΕΟΔΩΡΟΥ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Παναγιώτη,ΜΕΝΙΔΙΑΤΗ ΑΛΕΞΑΝΔΡΑ (ΑΛΕΚΑ) του Ιωάννη,ΠΑΠΑΔΑΤΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΠΑΠΑΣΤΑΥΡΟΥ ΚΥΡΙΛΛΟΣ του Χρυσοστόμου,ΤΣΟΚΑΝΗΣ ΧΡΗΣΤΟΣ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΚΑΤΣΑΝΗΣ ΔΗΜΗΤΡΙΟΣ του Στέλιου,ΛΥΚΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Χαράλαμπου,ΣΑΒΒΙΔΟΥ ΔΕΣΠΟΙΝΑ του Χρήστου,ΤΑΜΗΛΙΑΣ ΣΠΥΡΟΣ του Αλέξανδρου,ΤΑΤΜΙΧΑΛΗΣ ΑΝΔΡΕΑΣ του Φίλιππου,ΤΟΛΗ ΧΡΥΣΟΥΛΑ του Ιωάννη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΓΙΟΜΥΡΓΙΑΝΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΕΛΕΝΗ ΔΗΜΗΤΡΑ του Αναστασίου,ΚΑΛΥΒΑΣ ΕΥΑΓΓΕΛΟΣ του Βασιλείου,ΚΛΩΚΑ ΜΑΡΙΑΝΕΛΛΑ του Γεωργίου,ΠΟΛΥΧΡΟΝΗΣ ΒΑΣΙΛΕΙΟΣ του Πολυχρόνη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΒΑΠΟΡΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΚΑΡΥΑΝΔΗ ΑΘΗΝΑ του Αντωνίου,ΛΑΜΠΡΟΥ ΜΙΧΑΗΛ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΛΑΜΠΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΣΟΓΙΑ ΜΑΡΙΝΑ του Γεωργίου,ΤΣΟΠΕΛΑΚΗΣ ΗΡΑΚΛΗΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΜΠΑΡΔΑΚΑΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΚΙΟΚΑΣ ΑΓΓΕΛΟΣ του Αναργύρου,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΛΙΑ) του Γεωργίου,ΖΟΥΠΑ ΣΤΥΛΙΑΝΗ του Δημητρίου,ΚΑΤΑΡΑΧΙΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΠΟΛΥΔΩΡΟΣ  ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΤΡΙΧΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παύλου,Κίνημα 21,ΘΩΜΟΠΟΥΛΟΣ ΣΤΑΥΡΟΣ του Ιωάννη,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΚΟΝΤΟΓΙΑΝΝΙΔΟΥ ΑΛΑΤΑ ΧΡΙΣΤΙΝΑ ΕΛΕΝΗ του Παύλου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΘΑΝΑΣΙΑΔΗ ΤΑΤΙΑΝΑ του Ιωάννη,ΜΠΟΥΣΜΠΟΥΚΕΑ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΠΟΝΗΡΕΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΦΩΚΑΣ ΙΩΑΝΝΗΣ του Κοσμά,ΝΙΚΗ,ΑΜΠΑΔΟΓΙΑΝΝΗ ΕΥΑΝΘΙΑ του Νικολάου,ΚΟΤΣΟΧΕΙΛΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΝΙΚΟΛΟΥ ΓΕΩΡΓΙΑ του Ευάγγελου,ΠΑΛΑΙΤΣΑΚΗΣ ΓΙΩΡΓΟΣ του Ιωάννη,ΣΥΜΠΟΥΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,ΤΣΑΝΕΚΛΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Κωνσταντίνου,κοινωνία αξιών,ΚΑΛΟΓΕΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΡΩΪΜΟΠΟΥΛΟΥ ΤΟΥΡΦΑΝΤΟΓΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γρηγορίου,Ο.Α.Κ.Κ.Ε.,ΓΟΥΡΝΑΣ ΠΙΕΡΡΟΣ του Διονυσίου,Μ-Λ Κ.Κ.Ε.,ΑΡΓΥΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αργυρίου,Ελλήνων Συνέλευσις,ΜΑΥΡΟΥΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Συμεών,ΠΑΠΑΓΕΩΡΓΙΟΥ ΕΛΕΝΗ του Γεωργίου,ΠΡΙΦΤΗ ΕΥΓΕΝΙΑ του Ευάγγελου,ΡΕΝΤΟΥΜΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΤΣΟΛΕΡΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Χαράλαμπου,Ένωση Κεντρώων,ΚΟΚΚΙΝΑΣ ΝΙΚΟΛΑΟΣ του Τιμόθεου,ΜΕΝΤΕΣΙΔΟΥ ΕΡΑΣΜΙΑ του Κυριάκου,ΠΑΠΑΘΕΟΥ ΑΛΕΞΑΝΔΡΑ του Νικολάου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΓΑΛΙΩΤΗΣ ΝΙΚΟΣ του Στυλιανού,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΘΑΝΑΣΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΑΡΕΤΑ ΛΗΤΩ του Αθανασίου,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΜΠΙΝΙΩΡΗΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΦΡΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΩΝΣΤΑΝΤΑ ΕΥΑΓΓΕΛΙΑ του Μηνά,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΑΝΝΙΝΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΚΑΝΙΑΡΗΣ ΑΝΤΩΝΙΟΣ του Στυλιανού,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΓΚΟΚΤΣΗ ΕΛΕΝΗ του Νικολάου,ΔΗΜΗΤΡΙΑΔΗΣ ΠΑΥΛΟΣ του Γεωργίου,ΚΡΙΕΚΟΥΚΗ ΑΝΑΣΤΑΣΙΑ του Θεοδώρου,ΝΤΟΥΡΟΣ ΝΙΚΟΛΑΟΣ του Σωτηρίου,ΤΑΝΤΟΥΡΗΣ ΣΤΥΛΙΑΝΟΣ του Ιωσήφ,Οικολόγοι Πράσινοι,ΠΑΠΑΔΟΥΚΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΕΑΝ...,ΠΑΪΤΕΡΗΣ ΒΑΣΙΛΕΙΟΣ του Αλέξανδρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΗΜΗΤΡΙΑΔΟΥ ΜΑΡΙΑ του Σάββα,ΚΑΡΑΓΙΑΝΝΟΠΟΥΛΟΣ ΝΕΚΤΑΡΙΟΣ του Παρασκευά,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΡΙΤΣΗ ΑΝΑΣΤΑΣΙΑ του Σάββα,ΦΟΥΦΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
64 - Β' Δυτικής Αττικής,1 E.T. Δήμου Ασπροπύργου,483,313,9,1,10,303,96,31,59,5,19,14,13,42,12,11,8,6,6,14,26,9,2,7,1,0,9,52,5,2,3,4,20,40,36,6,18,17,5,4,2,0,0,0,0,0,0,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,5,1,1,0,1,2,2,1,0,0,1,0,0,3,1,0,0,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,7,6,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,2,2,2,1,3,2,2,7,5,4
64 - Β' Δυτικής Αττικής,2 E.T. Δήμου Ασπροπύργου,516,293,11,1,12,281,109,37,74,1,22,9,10,35,6,5,10,7,7,19,19,6,1,6,4,2,6,48,4,2,1,4,14,44,33,12,10,15,1,0,5,3,0,0,1,1,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,4,0,1,1,0,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,3,2,1,0,2,2,2,6,5,4
64 - Β' Δυτικής Αττικής,3 E.T. Δήμου Ασπροπύργου,514,328,11,2,13,315,138,41,93,3,40,13,26,54,12,8,16,7,8,25,16,2,1,10,1,3,2,38,4,2,3,5,12,27,31,11,9,16,2,4,5,3,1,0,0,1,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,5,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,5,5,4,5,3,3
64 - Β' Δυτικής Αττικής,4 E.T. Δήμου Ασπροπύργου,504,445,12,8,20,425,197,97,111,13,39,21,32,61,6,10,10,9,12,28,22,6,6,5,2,3,2,27,4,1,3,2,10,21,38,9,17,15,0,0,3,13,3,3,0,3,4,10,4,4,3,3,2,1,2,0,0,1,0,0,0,0,0,0,3,3,1,1,1,0,0,0,0,13,5,2,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,2,2,3,1,1,1,1,0,3,1,2,1,5,3,1,0,0,0,0,0,4,2,2,1,1,1,1,9,6,4
64 - Β' Δυτικής Αττικής,5 E.T. Δήμου Ασπροπύργου,503,345,9,3,12,333,132,67,89,5,65,10,17,45,9,8,9,10,7,23,27,10,1,8,8,5,6,35,4,3,1,3,8,29,37,8,15,16,2,1,5,3,0,1,0,1,0,2,2,1,1,1,1,0,0,0,0,5,1,1,0,0,0,0,6,5,4,0,4,2,0,2,2,4,3,0,1,2,0,0,0,0,0,0,0,0,0,1,0,4,1,2,1,0,2,2,1,1,1,2,1,3,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,1,10,5,4
64 - Β' Δυτικής Αττικής,6 E.T. Δήμου Ασπροπύργου,500,356,9,0,9,347,145,55,97,5,33,11,15,67,15,9,13,15,6,38,15,4,1,6,4,0,1,38,3,2,1,3,13,32,39,5,20,18,2,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,1,2,1,1,0,0,9,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,1,2,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,11,5,4
64 - Β' Δυτικής Αττικής,7 E.T. Δήμου Ασπροπύργου,505,321,13,2,15,306,111,23,72,7,28,18,19,61,8,11,8,10,6,25,20,2,3,6,4,3,7,39,6,4,3,3,11,31,26,9,15,13,4,1,2,3,1,2,0,1,1,3,1,1,2,2,0,1,1,1,0,3,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,8,4,3,4,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,4,1,1,2,1,0,1,1,0,1,1,1,0,1,1,1,11,7,6
64 - Β' Δυτικής Αττικής,8 E.T. Δήμου Ασπροπύργου,516,353,15,2,17,336,143,67,97,10,42,14,21,52,10,14,6,10,2,22,17,2,4,7,3,3,3,44,2,0,6,3,14,42,21,3,11,10,2,1,2,8,3,2,0,2,0,8,0,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,4,2,1,2,1,7,5,1,2,2,0,0,0,0,0,1,1,0,0,4,0,1,1,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,4,2,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,6,3,2
64 - Β' Δυτικής Αττικής,9 E.T. Δήμου Ασπροπύργου,506,310,10,1,11,299,101,42,56,7,33,9,11,37,6,6,6,8,8,15,25,13,2,13,7,3,5,50,6,0,8,5,14,41,38,8,10,19,0,3,8,3,0,1,0,0,0,1,0,0,0,3,2,2,2,0,0,2,0,1,1,0,0,0,1,1,0,0,5,2,0,1,0,3,2,1,0,1,0,0,0,3,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,4,3,1,0,3,2,2,1,1,0,4,2,0,0,0,0,0,10,9,8
64 - Β' Δυτικής Αττικής,10 E.T. Δήμου Ασπροπύργου,503,284,7,4,11,273,81,28,49,5,16,9,11,63,15,14,10,13,10,35,15,2,3,7,2,0,6,40,5,1,3,4,9,32,27,12,13,16,1,0,3,2,0,0,0,1,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,6,4,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,2,0,2,2,3,3,2,11,10,10
64 - Β' Δυτικής Αττικής,11 E.T. Δήμου Ασπροπύργου,535,356,9,2,11,345,146,37,92,9,56,15,21,53,13,9,7,8,12,35,18,6,1,9,2,3,3,54,1,0,6,8,16,46,26,6,12,14,1,4,4,3,1,2,0,2,0,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,3,1,0,0,1,4,1,3,2,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,3,0,0,0,0,3,1,3,0,0,1,1,2,0,0,1,1,6,3,0,0,0,0,0,0,2,1,0,0,0,0,0,9,6,6
64 - Β' Δυτικής Αττικής,12 E.T. Δήμου Ασπροπύργου,515,334,8,2,10,324,153,33,108,10,42,14,33,47,8,12,8,10,9,23,17,3,1,5,5,0,3,41,2,3,4,4,14,36,19,7,7,3,1,1,4,6,1,2,1,2,0,2,1,2,1,3,1,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,8,2,2,3,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,2,1,0,1,0,0,1,0,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,13,5,7
64 - Β' Δυτικής Αττικής,13 E.T. Δήμου Ασπροπύργου,503,324,4,5,9,315,116,33,77,13,33,9,19,45,16,11,5,6,8,24,19,11,6,3,3,3,3,37,4,0,2,2,15,32,42,6,15,25,2,2,5,4,1,2,0,1,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1,3,1,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,1,0,0,0,0,3,2,2,1,1,0,0,0,0,0,0,0,2,1,3,1,0,1,1,0,2,0,1,0,1,1,1,15,9,9
64 - Β' Δυτικής Αττικής,14 E.T. Δήμου Ασπροπύργου,507,330,8,1,9,321,117,35,59,8,32,8,26,59,11,9,10,11,8,24,21,11,4,5,2,2,3,45,2,2,3,4,12,42,30,10,11,15,2,1,3,4,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,0,2,0,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,2,1,0,0,0,8,7,3,3,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,15,8,7
64 - Β' Δυτικής Αττικής,15 E.T. Δήμου Ασπροπύργου,501,293,10,0,10,283,134,41,91,15,39,12,14,40,7,5,5,10,6,15,12,2,2,5,2,2,4,54,4,3,2,0,18,48,17,8,9,8,1,1,3,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,9,5,5
64 - Β' Δυτικής Αττικής,16 E.T. Δήμου Ασπροπύργου,499,305,6,5,11,294,127,41,86,7,43,13,16,41,11,4,5,6,9,25,9,2,1,3,2,0,1,59,8,2,6,5,19,55,26,14,13,10,2,2,4,3,0,0,1,0,1,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,1,1,1,6,4,3
64 - Β' Δυτικής Αττικής,17 E.T. Δήμου Ασπροπύργου,518,337,14,1,15,322,134,32,98,12,34,15,20,58,12,11,3,12,4,29,24,7,2,6,4,3,6,36,4,0,3,4,11,31,33,9,15,19,0,2,1,5,2,4,0,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,7,7,2,2,1,1,0,3,2,0,2,1,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,4,3,0,4,1,0,0,0,0,0,0,0,0,6,6,5
64 - Β' Δυτικής Αττικής,18 E.T. Δήμου Ασπροπύργου,515,331,19,1,20,311,108,32,76,7,19,5,27,38,12,5,7,11,4,15,19,6,2,9,2,3,4,71,1,5,3,5,23,65,42,6,28,29,0,1,4,4,1,2,0,2,1,2,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,4,0,0,0,0,3,1,2,1,1,1,0,1,1,1,2,0,0,0,1,0,1,0,0,0,2,1,1,1,0,0,0,1,1,1
64 - Β' Δυτικής Αττικής,19 E.T. Δήμου Ασπροπύργου,504,330,14,2,16,314,133,34,72,4,40,19,34,43,7,8,6,10,14,20,9,2,2,5,3,1,2,53,5,2,11,3,18,42,38,10,12,21,2,3,6,3,1,3,0,2,0,4,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,2,1,5,3,1,1,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,1,0,1,1,2,0,3,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,5,3
64 - Β' Δυτικής Αττικής,20 E.T. Δήμου Ασπροπύργου,507,308,13,3,16,292,137,26,96,8,55,12,22,33,9,2,6,8,8,17,25,13,2,14,1,1,3,37,4,2,1,3,13,34,22,9,7,10,0,2,5,4,2,0,1,1,0,3,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,6,1,2,1,2,1,2,1,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,1,1,0,0,3,1,2,0,0,0,0,0,1,1,0,0,0,4,0,1
64 - Β' Δυτικής Αττικής,21 E.T. Δήμου Ασπροπύργου,503,298,10,2,12,286,106,25,70,3,33,9,16,38,11,7,6,6,13,19,23,10,3,10,3,2,8,46,3,2,2,6,19,39,26,9,15,17,0,1,2,7,1,1,1,1,1,4,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,3,1,1,1,2,4,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,1,5,3,7,5,1,1,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4
64 - Β' Δυτικής Αττικής,22 E.T. Δήμου Ασπροπύργου,506,302,9,1,10,292,94,31,72,9,18,7,10,48,13,4,10,9,11,18,22,1,0,11,2,2,7,41,4,3,2,1,13,36,39,13,14,18,0,0,4,3,1,1,0,1,2,3,1,2,1,3,2,2,1,1,1,2,1,0,1,0,0,0,4,2,1,0,3,0,1,0,0,3,2,1,2,1,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,1,2,0,0,0,0,4,3,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,2,2,1,1,1,1,8,6,3
64 - Β' Δυτικής Αττικής,23 E.T. Δήμου Ασπροπύργου,504,295,19,0,19,276,131,43,89,5,33,14,15,38,10,5,4,10,8,21,20,6,5,14,2,1,2,37,5,0,6,6,11,34,23,7,16,12,0,0,1,3,1,2,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,2,0,1,2,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,2,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,4,4,4
64 - Β' Δυτικής Αττικής,24 E.T. Δήμου Ασπροπύργου,508,307,15,1,16,291,104,20,78,5,28,8,16,50,11,14,4,8,10,21,10,2,2,5,2,0,0,47,4,3,6,1,14,37,36,9,23,18,1,0,3,4,1,2,1,1,1,3,3,1,2,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,6,3,2,2,1,0,0,4,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,4,2,1,0,0,2,0,0,2,1,1,1,1,0,1,1,0,0,2,1,0,0,2,2,2,6,5,5
64 - Β' Δυτικής Αττικής,25 E.T. Δήμου Ασπροπύργου,501,304,18,1,19,285,89,25,70,7,20,12,4,36,10,8,8,5,2,23,17,3,3,9,1,1,2,39,2,0,1,3,13,37,41,7,20,26,1,4,4,6,0,3,2,2,3,1,0,0,0,5,5,1,2,1,0,1,1,0,1,0,0,0,0,0,2,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,5,3,3,1,0,1,1,1,1,2,1,1,1,1,1,0,0,1,0,2,1,0,0,3,3,3,22,18,13
64 - Β' Δυτικής Αττικής,26 E.T. Δήμου Ασπροπύργου,522,322,5,1,6,316,159,37,113,0,47,16,25,44,14,7,4,2,11,23,12,2,3,1,5,0,1,42,6,2,3,5,8,34,24,9,12,8,2,0,0,5,1,1,0,1,0,2,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,2,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,8,8,6
64 - Β' Δυτικής Αττικής,27 E.T. Δήμου Ασπροπύργου,499,310,15,4,19,291,109,35,87,7,27,7,18,39,8,8,6,8,5,17,17,5,3,4,3,1,5,44,2,1,4,5,17,38,33,4,19,18,0,1,5,6,2,2,0,3,0,4,1,2,1,2,0,0,0,1,0,1,1,0,0,0,1,0,1,0,3,2,1,0,0,1,0,3,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,1,0,2,1,0,0,0,0,0,3,3,3,0,0,0,1,1,1,0,0,0,2,1,1,0,1,0,2,1,2,2,1,0,0,10,5,8
64 - Β' Δυτικής Αττικής,28 E.T. Δήμου Ασπροπύργου,431,250,11,3,14,236,91,31,54,6,20,8,19,40,15,9,2,10,9,17,11,2,0,2,3,1,3,28,3,0,3,6,10,27,25,5,13,17,1,1,5,6,1,5,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,2,2,1,0,0,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,9,5,5
