ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΩΤΣΗΡΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΛΙΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΜΠΑΡΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΜΠΟΥΡΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΠΑΝΟΗΛΙΑ ΜΑΡΙΑ του Χρήστου,ΠΟΥΛΗΣ ΣΤΑΜΑΤΙΟΣ του Κυριάκου,ΣΥΡΙΖΑ,ΒΟΥΤΥΡΑΚΟΥ ΔΙΑΛΕΚΤΗ ΑΘΗΝΑ (ΔΙΑΝΑ) του Κωνσταντίνου,ΝΕΦΕΛΟΥΔΗΣ ΑΝΔΡΕΑΣ του Παύλου,ΠΑΝΤΖΑΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνα Αριστοτέλη,ΠΑΠΠΑ ΠΑΝΑΓΙΩΤΑ του Χαράλαμπου,ΣΤΕΦΑΤΟΥ ΔΙΟΝΥΣΙΑ του Παναγή,ΤΣΙΠΡΑΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΚΑΜΙΩΤΑΚΗ ΜΑΡΓΑΡΙΤΑ του Κωνσταντίνου,ΒΟΥΓΙΑΝΤΖΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΠΕΡΟΥΚΙΔΟΥ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Παντελή,ΣΤΑΜΟΥ ΔΗΜΗΤΡΙΟΣ του Σπυρίδωνος,ΥΨΗΛΑΝΤΗΣ ΑΝΤΩΝΙΟΣ του Γεωργίου,ΧΑΤΖΗΛΕΡΗΣ ΚΥΡΙΑΚΟΣ του Γεωργίου,Κ.Κ.Ε.,ΓΚΙΝΗΣ ΕΥΑΓΓΕΛΟΣ του Παναγιώτη,ΘΕΟΔΩΡΟΥ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Παναγιώτη,ΜΕΝΙΔΙΑΤΗ ΑΛΕΞΑΝΔΡΑ (ΑΛΕΚΑ) του Ιωάννη,ΠΑΠΑΔΑΤΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΠΑΠΑΣΤΑΥΡΟΥ ΚΥΡΙΛΛΟΣ του Χρυσοστόμου,ΤΣΟΚΑΝΗΣ ΧΡΗΣΤΟΣ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΚΑΤΣΑΝΗΣ ΔΗΜΗΤΡΙΟΣ του Στέλιου,ΛΥΚΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Χαράλαμπου,ΣΑΒΒΙΔΟΥ ΔΕΣΠΟΙΝΑ του Χρήστου,ΤΑΜΗΛΙΑΣ ΣΠΥΡΟΣ του Αλέξανδρου,ΤΑΤΜΙΧΑΛΗΣ ΑΝΔΡΕΑΣ του Φίλιππου,ΤΟΛΗ ΧΡΥΣΟΥΛΑ του Ιωάννη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΓΙΟΜΥΡΓΙΑΝΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΕΛΕΝΗ ΔΗΜΗΤΡΑ του Αναστασίου,ΚΑΛΥΒΑΣ ΕΥΑΓΓΕΛΟΣ του Βασιλείου,ΚΛΩΚΑ ΜΑΡΙΑΝΕΛΛΑ του Γεωργίου,ΠΟΛΥΧΡΟΝΗΣ ΒΑΣΙΛΕΙΟΣ του Πολυχρόνη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΒΑΠΟΡΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΚΑΡΥΑΝΔΗ ΑΘΗΝΑ του Αντωνίου,ΛΑΜΠΡΟΥ ΜΙΧΑΗΛ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΛΑΜΠΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΣΟΓΙΑ ΜΑΡΙΝΑ του Γεωργίου,ΤΣΟΠΕΛΑΚΗΣ ΗΡΑΚΛΗΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΜΠΑΡΔΑΚΑΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΚΙΟΚΑΣ ΑΓΓΕΛΟΣ του Αναργύρου,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΛΙΑ) του Γεωργίου,ΖΟΥΠΑ ΣΤΥΛΙΑΝΗ του Δημητρίου,ΚΑΤΑΡΑΧΙΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΠΟΛΥΔΩΡΟΣ  ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΤΡΙΧΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παύλου,Κίνημα 21,ΘΩΜΟΠΟΥΛΟΣ ΣΤΑΥΡΟΣ του Ιωάννη,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΚΟΝΤΟΓΙΑΝΝΙΔΟΥ ΑΛΑΤΑ ΧΡΙΣΤΙΝΑ ΕΛΕΝΗ του Παύλου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΘΑΝΑΣΙΑΔΗ ΤΑΤΙΑΝΑ του Ιωάννη,ΜΠΟΥΣΜΠΟΥΚΕΑ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΠΟΝΗΡΕΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΦΩΚΑΣ ΙΩΑΝΝΗΣ του Κοσμά,ΝΙΚΗ,ΑΜΠΑΔΟΓΙΑΝΝΗ ΕΥΑΝΘΙΑ του Νικολάου,ΚΟΤΣΟΧΕΙΛΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΝΙΚΟΛΟΥ ΓΕΩΡΓΙΑ του Ευάγγελου,ΠΑΛΑΙΤΣΑΚΗΣ ΓΙΩΡΓΟΣ του Ιωάννη,ΣΥΜΠΟΥΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,ΤΣΑΝΕΚΛΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Κωνσταντίνου,κοινωνία αξιών,ΚΑΛΟΓΕΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΡΩΪΜΟΠΟΥΛΟΥ ΤΟΥΡΦΑΝΤΟΓΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γρηγορίου,Ο.Α.Κ.Κ.Ε.,ΓΟΥΡΝΑΣ ΠΙΕΡΡΟΣ του Διονυσίου,Μ-Λ Κ.Κ.Ε.,ΑΡΓΥΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αργυρίου,Ελλήνων Συνέλευσις,ΜΑΥΡΟΥΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Συμεών,ΠΑΠΑΓΕΩΡΓΙΟΥ ΕΛΕΝΗ του Γεωργίου,ΠΡΙΦΤΗ ΕΥΓΕΝΙΑ του Ευάγγελου,ΡΕΝΤΟΥΜΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΤΣΟΛΕΡΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Χαράλαμπου,Ένωση Κεντρώων,ΚΟΚΚΙΝΑΣ ΝΙΚΟΛΑΟΣ του Τιμόθεου,ΜΕΝΤΕΣΙΔΟΥ ΕΡΑΣΜΙΑ του Κυριάκου,ΠΑΠΑΘΕΟΥ ΑΛΕΞΑΝΔΡΑ του Νικολάου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΓΑΛΙΩΤΗΣ ΝΙΚΟΣ του Στυλιανού,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΘΑΝΑΣΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΑΡΕΤΑ ΛΗΤΩ του Αθανασίου,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΜΠΙΝΙΩΡΗΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΦΡΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΩΝΣΤΑΝΤΑ ΕΥΑΓΓΕΛΙΑ του Μηνά,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΑΝΝΙΝΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΚΑΝΙΑΡΗΣ ΑΝΤΩΝΙΟΣ του Στυλιανού,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΓΚΟΚΤΣΗ ΕΛΕΝΗ του Νικολάου,ΔΗΜΗΤΡΙΑΔΗΣ ΠΑΥΛΟΣ του Γεωργίου,ΚΡΙΕΚΟΥΚΗ ΑΝΑΣΤΑΣΙΑ του Θεοδώρου,ΝΤΟΥΡΟΣ ΝΙΚΟΛΑΟΣ του Σωτηρίου,ΤΑΝΤΟΥΡΗΣ ΣΤΥΛΙΑΝΟΣ του Ιωσήφ,Οικολόγοι Πράσινοι,ΠΑΠΑΔΟΥΚΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΕΑΝ...,ΠΑΪΤΕΡΗΣ ΒΑΣΙΛΕΙΟΣ του Αλέξανδρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΗΜΗΤΡΙΑΔΟΥ ΜΑΡΙΑ του Σάββα,ΚΑΡΑΓΙΑΝΝΟΠΟΥΛΟΣ ΝΕΚΤΑΡΙΟΣ του Παρασκευά,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΡΙΤΣΗ ΑΝΑΣΤΑΣΙΑ του Σάββα,ΦΟΥΦΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
64 - Β' Δυτικής Αττικής,68 E.T. Δήμου Ελευσίνας,562,397,8,4,12,385,171,60,68,11,73,17,56,63,29,12,8,8,12,20,23,8,7,1,8,1,0,46,24,9,5,4,12,6,13,4,5,5,3,1,3,13,3,5,0,3,0,2,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,4,3,7,4,1,0,0,0,0,9,3,1,2,3,2,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,0,0,0,1,1,5,3,2,0,0,1,1,0,3,0,1,1,3,1,0,1,2,1,2,2,1,1,0,0,0,11,8,4
64 - Β' Δυτικής Αττικής,69 E.T. Δήμου Ελευσίνας,565,399,6,1,7,392,147,55,56,14,69,24,26,98,23,14,9,18,22,52,26,10,4,7,12,1,6,38,31,7,3,2,13,1,18,12,4,9,1,0,2,16,4,2,3,2,4,3,1,3,2,0,0,0,0,0,0,5,0,2,2,0,0,1,5,2,3,2,1,0,0,1,1,4,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,2,1,1,1,3,1,1,1,0,1,3,2,0,0,0,0,0,14,11,6
64 - Β' Δυτικής Αττικής,70 E.T. Δήμου Ελευσίνας,561,361,13,7,20,341,140,56,40,18,60,18,30,51,10,2,10,14,10,26,22,11,8,7,5,0,3,47,27,4,9,10,16,7,16,9,6,6,1,0,5,8,2,5,1,5,0,3,2,1,2,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,9,2,2,1,1,0,2,9,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2,0,1,0,3,2,1,0,2,0,4,0,0,0,0,0,0,17,11,11
64 - Β' Δυτικής Αττικής,71 E.T. Δήμου Ελευσίνας,553,387,12,4,16,371,163,64,57,8,76,22,21,59,18,4,7,21,14,21,23,8,5,3,8,2,8,44,27,9,6,6,13,7,19,9,7,4,0,1,4,3,0,1,0,1,0,6,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,0,0,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,1,1,1,9,5,3,4,1,2,0,0,0,0,2,0,0,0,0,0,0,0,6,3,2,2,0,0,0,18,9,6
64 - Β' Δυτικής Αττικής,72 E.T. Δήμου Ελευσίνας,552,397,11,5,16,381,173,63,58,11,74,23,38,68,16,14,11,15,13,35,30,6,12,2,16,5,3,37,26,6,6,6,13,3,27,9,5,11,1,1,8,8,4,3,1,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,1,0,0,0,0,6,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,2,1,0,1,0,0,2,1,0,0,1,0,0,7,7,6
64 - Β' Δυτικής Αττικής,73 E.T. Δήμου Ελευσίνας,547,394,19,2,21,373,163,49,55,12,72,22,48,64,20,4,8,18,12,31,29,9,9,6,7,4,2,32,20,7,4,2,8,4,21,10,6,6,3,0,6,7,2,3,2,3,2,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,2,0,0,0,0,12,3,1,2,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,1,1,0,0,2,0,0,0,5,2,0,2,0,1,5,2,1,0,0,0,0,12,8,6
64 - Β' Δυτικής Αττικής,74 E.T. Δήμου Ελευσίνας,534,388,8,1,9,379,160,50,60,12,60,14,44,71,20,12,11,13,18,36,22,5,3,2,8,6,6,24,24,7,3,3,8,3,23,7,4,7,2,1,8,9,2,4,2,1,2,6,4,4,2,2,0,1,2,0,0,0,0,0,0,0,0,0,6,5,13,7,4,1,1,1,1,8,4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,2,4,0,1,2,2,0,0,0,1,0,2,2,3,3,1,1,0,1,2,1,1,1,1,1,1,11,8,9
64 - Β' Δυτικής Αττικής,75 E.T. Δήμου Ελευσίνας,533,324,11,5,16,308,108,37,39,15,40,22,19,84,28,12,10,15,20,46,25,7,6,9,5,1,5,28,17,5,7,6,11,3,12,6,4,3,0,1,1,12,6,1,0,4,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,5,3,0,0,2,1,1,1,1,4,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,1,0,1,1,2,1,2,0,0,0,1,2,4,2,0,0,1,1,1,11,8,7
64 - Β' Δυτικής Αττικής,76 E.T. Δήμου Ελευσίνας,535,336,4,3,7,329,142,57,43,12,63,14,32,59,19,7,11,20,9,27,25,10,3,6,8,3,0,27,18,5,5,6,9,1,17,4,4,8,1,0,3,7,1,1,1,1,0,5,3,1,1,3,0,0,3,3,0,6,1,1,2,1,0,0,4,1,2,1,3,1,1,1,2,5,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0,0,0,3,0,1,0,2,0,1,1,0,0,3,2,2,1,0,0,0,2,2,2,0,0,0,0,0,7,5,5
64 - Β' Δυτικής Αττικής,77 E.T. Δήμου Ελευσίνας,517,336,16,3,19,317,125,57,41,8,53,18,25,53,11,7,4,14,8,19,28,7,5,8,9,3,3,33,16,5,3,5,9,3,17,7,7,5,1,3,0,6,0,2,0,1,0,3,1,1,0,1,0,1,1,0,0,2,0,0,1,0,0,0,1,0,9,0,1,0,0,0,0,12,3,3,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3,2,0,2,0,2,0,0,2,0,3,3,2,0,0,0,1,2,3,1,0,0,0,0,0,11,8,7
64 - Β' Δυτικής Αττικής,78 E.T. Δήμου Ελευσίνας,528,336,16,4,20,316,89,34,33,7,35,18,12,70,19,15,8,19,7,38,25,10,5,5,11,4,3,43,33,8,4,4,15,12,25,9,12,14,1,1,9,9,3,3,0,3,1,6,3,3,3,2,1,1,1,3,2,4,2,0,0,1,0,0,3,0,3,2,2,1,0,1,0,4,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,2,3,0,1,0,0,0,1,0,0,0,3,2,1,1,0,0,1,0,3,2,1,0,0,0,0,11,10,8
64 - Β' Δυτικής Αττικής,79 E.T. Δήμου Ελευσίνας,531,364,5,5,10,354,116,40,34,18,51,13,23,73,28,12,10,17,13,25,42,21,7,14,17,0,5,31,15,7,4,6,5,8,10,6,3,5,0,0,2,12,4,6,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,5,3,3,2,0,0,14,2,1,2,4,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,3,0,1,1,2,1,4,0,0,2,1,1,1,0,5,5,1,1,2,0,1,0,0,0,4,2,0,0,0,0,0,15,8,7
64 - Β' Δυτικής Αττικής,80 E.T. Δήμου Ελευσίνας,540,392,5,2,7,385,156,67,44,12,58,27,37,64,19,7,11,14,13,31,29,10,5,7,9,3,3,23,15,2,5,4,7,1,34,7,11,17,2,1,8,19,2,8,1,3,2,2,0,2,2,1,0,0,0,0,0,4,1,1,0,1,1,1,1,1,2,2,5,2,0,3,2,5,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,1,1,0,2,2,5,1,1,1,1,0,0,0,1,0,4,3,2,1,1,1,0,0,2,1,2,1,0,0,0,18,10,10
64 - Β' Δυτικής Αττικής,81 E.T. Δήμου Ελευσίνας,533,393,14,6,20,373,143,46,42,6,51,22,26,65,24,12,8,12,8,26,28,12,4,4,7,4,8,43,19,8,10,5,11,9,27,11,10,7,4,3,3,5,1,0,2,2,1,3,2,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,1,1,2,2,3,1,2,0,0,12,2,5,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,7,4,1,3,0,0,1,0,2,0,4,2,1,0,0,1,0,1,4,1,1,1,0,0,0,14,8,5
64 - Β' Δυτικής Αττικής,82 E.T. Δήμου Ελευσίνας,535,393,11,2,13,380,138,67,47,15,46,30,27,60,25,4,11,10,8,30,36,16,7,10,9,5,8,52,39,6,7,6,22,8,19,5,11,5,1,0,6,10,2,3,2,2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,2,6,3,6,1,1,0,2,14,3,3,0,2,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,2,0,0,2,1,4,3,0,0,1,1,0,1,0,0,2,2,0,0,1,0,0,17,10,8
64 - Β' Δυτικής Αττικής,83 E.T. Δήμου Ελευσίνας,526,351,4,2,6,345,130,40,29,20,46,23,27,60,12,5,6,12,11,27,25,15,6,4,8,2,4,31,14,4,3,3,5,5,23,9,12,11,2,1,3,13,2,5,1,3,5,4,1,1,3,2,2,1,1,0,0,5,1,1,2,0,2,0,5,3,1,0,5,1,0,1,0,8,4,3,3,3,1,0,0,1,0,0,0,0,0,0,0,3,0,2,1,2,1,1,1,0,1,2,1,3,2,1,0,1,0,0,0,4,4,1,1,0,0,0,0,0,0,2,0,2,2,1,1,0,13,11,8
64 - Β' Δυτικής Αττικής,84 E.T. Δήμου Ελευσίνας,552,415,17,4,21,394,168,60,40,12,82,18,35,57,15,10,5,10,9,25,32,12,6,6,9,7,1,25,11,4,5,6,6,4,31,12,8,16,0,3,9,7,1,4,1,4,0,1,1,1,0,5,4,2,4,1,1,2,0,0,0,0,0,0,1,1,6,4,5,2,1,0,3,12,4,4,6,3,5,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,3,1,1,2,3,3,3,2,0,1,2,0,1,0,6,3,1,1,3,0,1,0,1,1,4,3,0,0,0,0,0,14,11,6
64 - Β' Δυτικής Αττικής,85 E.T. Δήμου Ελευσίνας,532,387,12,1,13,374,144,41,49,20,68,16,34,65,23,21,14,15,13,22,28,6,4,9,7,6,2,45,32,3,8,11,15,6,24,10,10,9,1,0,6,13,4,5,2,4,3,1,1,1,0,1,0,1,1,0,0,3,1,1,0,1,1,0,3,2,8,8,4,2,1,3,0,6,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,4,1,2,3,0,0,1,1,1,1,1,0,3,1,1,0,1,0,3,1,1,1,0,0,0,13,7,5
64 - Β' Δυτικής Αττικής,86 E.T. Δήμου Ελευσίνας,539,376,20,3,23,353,155,54,49,11,54,24,29,59,10,10,3,15,11,25,33,13,2,8,11,5,3,34,20,2,2,5,15,6,22,8,7,9,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,8,3,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,4,1,2,0,0,2,1,1,1,0,2,0,3,1,1,2,0,0,0,0,0,0,1,0,0,17,15,9
64 - Β' Δυτικής Αττικής,87 E.T. Δήμου Ελευσίνας,541,415,16,4,20,395,142,50,44,14,53,25,35,87,12,15,19,31,21,46,37,11,6,11,9,4,5,25,11,3,6,4,4,6,22,8,11,7,0,2,5,10,3,4,3,1,3,2,1,1,2,2,1,1,1,0,0,3,2,0,1,0,0,0,3,3,9,5,1,1,0,0,1,11,5,0,3,2,5,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,1,0,0,0,0,2,2,3,1,1,0,0,2,0,0,1,1,4,2,4,1,1,2,2,0,7,2,1,0,1,0,0,13,7,6
64 - Β' Δυτικής Αττικής,88 E.T. Δήμου Ελευσίνας,524,409,4,5,9,400,141,51,44,12,62,16,19,65,22,14,8,15,11,25,42,15,5,13,8,7,5,26,18,2,3,3,15,5,31,11,9,13,2,0,5,13,5,7,2,4,0,2,1,0,0,1,0,0,1,0,0,6,1,3,1,0,0,0,3,1,7,3,9,1,4,4,3,14,10,5,5,5,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,4,1,2,1,0,0,0,0,4,1,1,1,1,0,0,0,0,1,3,0,1,0,1,0,1,19,9,6
64 - Β' Δυτικής Αττικής,89 E.T. Δήμου Ελευσίνας,510,382,12,3,15,367,136,50,48,16,46,16,33,65,9,8,11,19,14,38,21,10,2,7,3,1,1,41,24,6,5,7,12,8,27,12,5,11,2,1,4,6,1,3,1,2,2,2,1,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,10,4,4,2,5,1,1,1,1,8,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,4,3,3,0,1,0,6,4,4,1,0,1,0,0,1,1,5,3,0,0,0,0,0,0,6,1,3,3,0,0,0,10,5,3
64 - Β' Δυτικής Αττικής,90 E.T. Δήμου Ελευσίνας,535,379,6,2,8,371,149,57,51,19,80,39,36,72,15,16,6,17,15,37,28,13,11,10,8,6,1,25,15,5,7,9,7,3,30,12,16,11,3,4,5,17,3,11,2,5,6,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,6,3,1,2,3,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,2,1,0,2,1,1,3,2,0,1,0,0,1,1,1,1,2,0,3,1,0,2,0,0,2,1,2,1,2,2,2,13,8,6
64 - Β' Δυτικής Αττικής,91 E.T. Δήμου Ελευσίνας,516,359,15,1,16,343,131,37,56,19,53,17,38,55,19,2,3,14,10,27,37,10,22,8,8,19,7,39,18,0,5,11,8,11,23,10,14,6,0,1,4,5,0,4,0,3,1,2,1,0,1,1,0,0,0,1,1,2,0,1,1,0,0,0,2,2,7,3,2,0,0,0,0,5,1,1,0,2,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,0,1,1,1,0,1,0,0,0,0,1,1,1,2,1,2,1,2,1,0,2,1,0,2,1,3,3,1,0,0,12,11,6
64 - Β' Δυτικής Αττικής,92 E.T. Δήμου Ελευσίνας,519,394,15,0,15,379,156,64,53,13,70,24,36,45,9,2,5,11,8,25,38,5,19,5,11,8,3,34,21,7,8,7,10,8,24,4,8,11,0,3,6,10,1,5,1,4,0,3,0,2,2,4,1,3,2,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,18,10,6,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,9,4,3,1,3,3,0,0,2,0,0,0,2,1,0,1,0,0,4,3,0,0,1,1,1,20,18,9
64 - Β' Δυτικής Αττικής,93 E.T. Δήμου Ελευσίνας,516,376,8,2,10,366,181,60,66,24,56,35,52,72,19,7,3,26,18,37,25,10,5,4,9,4,3,27,14,8,2,4,10,3,7,4,2,3,1,1,0,8,0,1,2,2,1,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,6,2,6,1,3,1,1,4,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,2,0,0,0,0,1,1,6,2,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,11,6,4
64 - Β' Δυτικής Αττικής,94 E.T. Δήμου Ελευσίνας,530,368,6,2,8,360,130,52,46,7,49,18,34,58,11,13,9,14,13,27,48,12,11,9,15,8,6,18,6,5,4,4,3,5,31,9,18,9,4,1,5,7,2,4,1,4,3,1,0,1,1,1,1,1,0,0,0,2,0,1,1,0,0,0,5,2,3,2,5,3,4,0,1,11,3,3,3,4,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,2,1,8,3,2,3,0,2,2,2,0,0,2,0,0,0,0,0,0,0,2,1,4,4,1,0,0,17,11,12
64 - Β' Δυτικής Αττικής,95 E.T. Δήμου Ελευσίνας,517,362,17,5,22,340,145,73,53,10,48,20,34,73,19,15,10,17,19,47,23,8,5,7,11,4,6,26,20,1,1,1,11,4,29,13,13,11,0,1,9,5,2,2,0,2,1,3,2,3,0,4,0,3,1,0,0,1,0,1,1,0,0,0,3,2,3,2,1,1,0,1,0,6,2,1,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,1,0,2,1,0,3,2,1,1,0,0,0,8,6,5
64 - Β' Δυτικής Αττικής,96 E.T. Δήμου Ελευσίνας,540,391,14,1,15,376,169,76,71,10,41,26,49,56,10,9,4,15,11,27,36,14,10,12,10,5,7,16,6,2,5,3,6,2,31,5,16,15,2,6,4,5,1,1,0,2,3,0,0,0,0,1,1,0,1,0,0,2,2,2,0,0,0,0,0,0,3,2,2,1,0,0,1,7,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,4,3,1,1,2,1,1,0,0,0,4,2,11,2,2,1,3,4,1,1,0,0,2,2,0,0,0,0,0,0,5,4,0,0,2,1,1,18,16,10
64 - Β' Δυτικής Αττικής,97 E.T. Δήμου Μάνδρας - Ειδυλλίας,554,347,4,1,5,342,175,76,42,15,80,21,60,56,18,8,13,9,12,33,20,12,2,5,11,2,1,30,7,8,5,11,1,3,15,5,3,5,1,1,5,6,0,2,1,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,11,7,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,5,3,2,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,3,3,0,0,0,8,6,6
64 - Β' Δυτικής Αττικής,98 E.T. Δήμου Μάνδρας - Ειδυλλίας,553,375,10,4,14,361,193,74,61,14,73,17,77,67,14,11,11,10,18,30,16,4,5,1,7,0,0,22,8,8,4,4,1,3,16,10,4,4,1,1,2,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,1,0,0,3,2,4,0,9,3,3,0,2,5,3,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,14,8,8
64 - Β' Δυτικής Αττικής,99 E.T. Δήμου Μάνδρας - Ειδυλλίας,564,361,2,1,3,358,208,66,43,13,102,15,80,60,15,9,12,15,12,34,18,9,2,5,6,3,2,15,8,1,5,5,1,1,11,5,5,4,2,0,2,3,1,0,0,0,1,5,3,1,3,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,3,1,0,2,1,8,2,1,3,5,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,1,0,0,0,0,1,0,4,3,1,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,6
64 - Β' Δυτικής Αττικής,100 E.T. Δήμου Μάνδρας - Ειδυλλίας,566,362,6,1,7,355,188,56,58,11,81,20,73,68,21,14,1,15,6,34,18,9,1,5,2,3,3,23,6,7,4,5,6,4,7,4,1,3,0,0,3,6,1,1,1,4,1,1,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,5,4,4,2,1,0,0,13,6,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,4,2,1,0,4,2,2,6,4,3
64 - Β' Δυτικής Αττικής,101 E.T. Δήμου Μάνδρας - Ειδυλλίας,559,359,11,2,13,346,178,60,57,8,82,10,70,56,16,7,3,18,9,24,33,9,13,4,13,3,1,16,5,3,5,3,1,1,6,3,1,3,1,0,4,8,1,3,1,4,0,3,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,10,3,3,2,4,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,10,4,1,5,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,10,6,5
64 - Β' Δυτικής Αττικής,102 E.T. Δήμου Μάνδρας - Ειδυλλίας,514,321,3,1,4,317,169,48,47,12,83,15,63,53,11,6,9,6,8,24,22,5,4,4,11,2,2,21,4,4,3,4,2,0,9,7,4,3,0,1,1,3,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,4,1,0,1,0,0,0,6,6,0,0,2,1,2,1,0,7,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,4,0,0,1,1,1,6,4,2
64 - Β' Δυτικής Αττικής,103 E.T. Δήμου Μάνδρας - Ειδυλλίας,495,320,1,2,3,317,156,57,42,11,105,12,22,50,15,13,6,8,9,21,15,8,1,3,8,0,2,35,7,20,6,3,14,3,7,2,1,3,0,0,4,10,3,3,1,5,1,0,0,0,0,1,0,0,0,0,0,5,2,1,0,0,0,1,1,1,0,0,2,0,0,1,1,13,6,2,5,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,4,1,1,1,0,0,0,10,8,9
64 - Β' Δυτικής Αττικής,104 E.T. Δήμου Μάνδρας - Ειδυλλίας,457,306,4,1,5,301,152,48,47,6,89,7,43,51,14,9,8,11,13,23,23,5,1,2,9,3,4,16,3,7,4,3,6,4,11,4,3,4,0,0,5,8,1,4,3,3,3,1,0,0,0,1,1,0,1,0,0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,11,6,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,1,2,0,0,0,0,0,0,0,2,0,5,3,0,0,0,0,0,0,2,0,2,0,0,0,0,7,2,2
64 - Β' Δυτικής Αττικής,105 E.T. Δήμου Μάνδρας - Ειδυλλίας,447,292,1,0,1,291,138,41,39,6,93,9,21,45,15,7,5,7,10,21,15,4,2,2,6,1,2,26,1,14,4,4,8,6,15,3,3,4,0,2,4,6,2,2,0,1,0,1,1,1,0,1,0,1,0,0,0,12,11,0,3,0,3,0,3,3,0,0,1,0,0,0,0,10,5,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,7,3,1
