ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΤΩΝΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΒΕΛΤΣΗ ΠΑΥΛΙΝΑ του Παύλου,ΗΛΙΑΔΟΥ-ΤΑΧΟΥ ΣΟΦΙΑ του Σταύρου,ΠΑΠΑΣΩΤΗΡΙΟΥ ΣΤΑΥΡΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΚΩΤΑΚΙΔΗΣ ΓΕΩΡΓΙΟΣ του Ευσταθίου,ΜΠΙΡΟΣ ΣΤΕΦΑΝΟΣ του Παντελή,ΠΕΡΚΑ ΘΕΟΠΙΣΤΗ (ΠΕΤΗ) του Χαράλαμπου,ΧΑΤΖΗΚΩΝΣΤΑΝΤΙΝΟΥ ΠΑΣΧΑΛΙΤΣΑ του Ευάγγελου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΕΩΡΓΙΑΔΗΣ ΑΡΙΣΤΟΤΕΛΗΣ (ΤΕΛΗΣ) του Βασιλείου,ΚΑΡΑΔΑΚΟΥ ΟΛΓΑ του Αναστασίου,ΚΡΗΤΙΚΟΥ - ΦΡΑΝΤΖΗ ΔΙΑΜΑΝΤΟΥΛΑ (ΔΙΑΜΑΝΤΩ) του Ανδρέα,ΛΑΒΑΣΙΔΗΣ ΛΑΖΑΡΟΣ του Γεωργίου,Κ.Κ.Ε.,ΑΛΕΞΙΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΒΟΓΙΑΤΖΗ ΜΑΡΙΑ του Εμμανουήλ,ΒΥΣΙΝΗΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΤΟΡΛΑΧΙΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΓΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΔΡΟΓΟΥΔΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΠΑΠΟΥΛΙΔΟΥ ΑΝΝΑ του Γεωργίου,ΧΕΙΜΩΝΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Θεοδώρου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΙΑΣΗΜΑΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΜΙΤΡΟΒΙΤΣ ΜΑΡΙΑ του Ντράγκαν,ΤΡΑΣΙΑΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΙΩΑΝΝΙΔΗΣ ΠΑΝΤΕΛΗΣ του Χρήστου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΔΗΜΗΤΡΑ του Στυλιανού,Ο.Κ.Δ.Ε.,ΣΑΒΒΑΚΗΣ ΣΤΑΥΡΟΣ του Κίμωνα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ ΚΥΡΙΑΚΗ του Γεωργίου,ΤΖΩΤΖΗΣ ΒΑΣΙΛΕΙΟΣ του Μιχαήλ,Κίνημα 21,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΜΑΝΑΤΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΚΕΣΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΝΙΚΗ,ΠΑΠΑΔΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΤΑΝΤΣΗ ΑΛΕΞΙΑ του Πανταζή,κοινωνία αξιών,ΛΑΠΠΑΣ ΙΩΑΝΝΗΣ του Νικολάου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΤΣΕΒΡΕΝΤΣΙΔΟΥ ΒΑΣΙΛΙΚΗ του Παναγιώτη,Ο.Α.Κ.Κ.Ε.,ΖΑΦΕΙΡΟΠΟΥΛΟΣ ΗΛΙΑΣ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΔΕΡΝΟΒΙΟΥ ΕΙΡΗΝΗ του Στυλιανού,Ελλήνων Συνέλευσις,ΜΑΥΡΟΒΑΛΗ ΒΑΪΤΣΑ του Θεοδώρου,ΠΕΤΡΙΔΗΣ ΠΑΥΛΟΣ του Ευστάθίου,Ένωση Κεντρώων,ΑΑΡΩΝ ΓΡΗΓΟΡΙΑ του Δημητρίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΚΛΙΑ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΤΟΝΤΟΥ ΡΟΔΑΝΘΗ του Αλεξάνδρου,ΤΣΑΡΟΥΧΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΝΑΓΙΩΤΙΔΗΣ ΓΕΩΡΓΙΟΣ ΝΕΚΤΑΡΙΟΣ του Λαζάρου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΑΠΠΑ ΜΑΡΙΑ του Σπυρίδωνος,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΓΟΥΝΙΩΤΗΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΜΠΟΜΠΑ ΒΑΪΑ του Αθανασίου,ΕΑΝ...,ΧΕΙΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Αλεξάνδρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΙΟΥΜΟΥΡΤΖΗΣ ΠΑΥΛΟΣ του Δημητρίου,Ανεξάρτητοι Υποψήφιοι,ΠΡΟΪΤΣΗΣ ΣΤΕΦΑΝΟΣ του Δημητρίου
14 - Φλώρινας,1 E.T. Δήμου Αμυνταίου,236,125,2,0,2,123,68,36,0,1,26,18,3,2,7,4,9,0,1,2,5,3,0,1,0,0,12,5,2,0,4,2,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
14 - Φλώρινας,2 E.T. Δήμου Αμυνταίου,400,188,3,1,4,184,58,36,2,0,18,63,8,23,26,2,18,1,1,4,8,17,0,10,3,0,8,5,1,0,0,7,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
14 - Φλώρινας,3 E.T. Δήμου Αμυνταίου,373,133,3,1,4,129,42,29,2,0,9,33,3,8,12,3,17,0,2,6,6,6,1,4,0,0,8,4,0,1,0,1,0,0,0,2,2,0,0,0,0,1,0,1,0,0,1,1,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,5,3,2,0
14 - Φλώρινας,4 E.T. Δήμου Αμυνταίου,397,141,8,0,8,133,47,38,0,2,6,30,6,5,15,0,13,0,2,3,5,18,0,14,1,0,4,2,1,0,0,1,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,6,3,0,0
14 - Φλώρινας,5 E.T. Δήμου Αμυνταίου,418,229,2,1,3,226,85,19,5,3,57,64,13,17,27,1,29,2,1,7,15,13,1,9,0,1,9,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,4,4,0,0,0,0,0,9,5,0,0
14 - Φλώρινας,6 E.T. Δήμου Αμυνταίου,396,195,2,0,2,193,71,24,1,3,39,53,4,9,32,3,25,2,1,7,15,11,0,8,0,3,8,2,2,0,2,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,2,3,0,0,1,1,0,0,0,0,3,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,4,3,0,0
14 - Φλώρινας,7 E.T. Δήμου Αμυνταίου,390,76,4,0,4,72,36,9,4,1,20,18,0,7,5,1,2,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,0,2,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
14 - Φλώρινας,8 E.T. Δήμου Αμυνταίου,413,104,6,0,6,98,42,17,5,1,18,22,3,5,9,3,9,1,0,6,2,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,4,6,6
14 - Φλώρινας,9 E.T. Δήμου Αμυνταίου,477,210,3,0,3,207,60,25,1,1,31,52,12,7,31,0,20,3,0,8,8,6,2,3,0,1,29,23,1,2,1,5,3,1,1,2,2,9,4,0,0,1,1,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,2,0,0,4,4,2,0,1,1,1,4,2,2,2
14 - Φλώρινας,10 E.T. Δήμου Αμυνταίου,364,212,1,0,1,211,134,47,8,2,74,26,4,4,16,0,15,0,0,5,8,10,0,3,0,1,6,2,0,0,0,4,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,5,2,0,0
14 - Φλώρινας,11 E.T. Δήμου Αμυνταίου,420,229,3,6,9,220,82,40,2,1,31,49,2,9,32,2,23,2,3,4,9,9,1,5,0,0,20,11,1,3,0,2,1,0,0,6,6,1,1,0,0,1,0,1,2,1,2,2,0,6,1,4,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,5,1,1
14 - Φλώρινας,12 E.T. Δήμου Αμυνταίου,533,197,2,0,2,195,84,48,6,6,22,50,15,7,22,5,20,5,2,5,6,5,0,4,0,0,10,5,0,1,3,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,2,2,2,0,0,0,0,0,1,1,3,1,2,2
14 - Φλώρινας,13 E.T. Δήμου Αμυνταίου,515,150,0,0,0,150,55,32,2,1,17,41,5,5,24,5,21,0,1,7,8,4,0,2,0,0,6,3,1,0,0,4,1,1,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,2,1,1,0,1,0,0,3,3,0,0
14 - Φλώρινας,14 E.T. Δήμου Αμυνταίου,561,282,4,2,6,276,96,41,7,4,36,71,10,7,32,13,34,1,3,15,12,16,0,13,0,3,9,5,2,0,0,7,4,1,0,0,0,1,1,1,1,3,2,0,3,3,6,1,1,21,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,4,2,1,1
14 - Φλώρινας,15 E.T. Δήμου Αμυνταίου,558,326,4,3,7,319,126,63,12,1,45,70,10,4,27,19,37,0,1,10,26,15,0,10,0,2,18,9,2,0,0,6,0,1,0,2,2,0,0,0,0,0,0,0,3,3,5,0,2,18,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,14,11,0,0
14 - Φλώρινας,16 E.T. Δήμου Αμυνταίου,559,278,5,1,6,272,103,31,9,4,53,64,14,7,19,16,32,0,1,13,9,19,0,17,0,1,12,7,1,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,18,4,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,9,1,0,0
14 - Φλώρινας,17 E.T. Δήμου Αμυνταίου,542,261,2,2,4,257,116,55,5,4,42,51,6,5,19,16,22,1,1,7,8,14,1,13,0,0,12,5,0,1,1,9,5,1,1,3,2,0,0,0,0,1,1,0,0,0,3,0,0,16,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,1,0,0,1,0,4,3,0,0
14 - Φλώρινας,18 E.T. Δήμου Αμυνταίου,543,262,9,1,10,252,81,29,10,2,36,66,10,4,30,10,30,1,2,7,14,18,0,14,0,0,9,8,0,0,0,5,2,1,0,1,1,0,0,1,0,1,0,0,1,1,4,2,1,17,7,10,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,2,1,0,2,0,7,6,2,2
14 - Φλώρινας,19 E.T. Δήμου Αμυνταίου,545,271,11,2,13,258,88,40,4,5,31,58,8,3,28,11,27,1,2,15,7,18,1,14,0,0,13,8,0,1,0,13,2,4,1,0,0,0,0,0,0,2,1,0,3,1,1,0,1,5,1,3,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,3,2,0,1,1,1,0,1,0,0,0,0,18,10,2,0
14 - Φλώρινας,20 E.T. Δήμου Αμυνταίου,334,239,13,3,16,223,52,34,1,1,12,54,6,8,17,16,32,2,5,14,5,14,2,10,0,2,26,14,2,2,0,9,3,0,1,4,1,0,0,0,0,2,2,0,1,0,3,1,2,16,4,9,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,2,0,1,1,0,0,0,1,1
14 - Φλώρινας,21 E.T. Δήμου Αμυνταίου,217,143,5,1,6,137,54,32,4,4,10,35,7,1,13,7,17,1,4,8,3,16,0,11,2,1,7,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,22 E.T. Δήμου Αμυνταίου,471,160,0,0,0,160,59,35,1,2,19,34,12,5,8,5,8,0,1,0,1,12,1,8,0,0,11,10,1,0,0,6,3,1,1,0,0,4,3,0,0,1,0,0,2,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,15,13,0,0
14 - Φλώρινας,23 E.T. Δήμου Αμυνταίου,457,198,4,2,6,192,69,40,0,0,28,36,4,5,18,6,14,1,1,4,5,13,3,6,2,0,10,4,1,0,0,11,3,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,28,26,0,0
14 - Φλώρινας,24 E.T. Δήμου Αμυνταίου,443,193,4,2,6,187,70,42,3,1,19,52,11,7,21,6,11,0,0,6,1,17,1,13,0,0,6,4,0,1,0,3,1,0,0,1,1,0,0,0,0,3,0,3,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,14,14,0,0
14 - Φλώρινας,25 E.T. Δήμου Αμυνταίου,433,162,4,0,4,158,42,29,0,0,12,44,13,4,16,8,18,3,2,4,3,18,1,12,0,1,3,2,1,0,0,5,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,11,3,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,9,9,0,0
14 - Φλώρινας,26 E.T. Δήμου Αμυνταίου,437,139,2,1,3,136,23,16,2,0,5,45,7,14,17,1,42,0,36,1,1,6,2,0,3,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,2,0,1,0,0,3,1,2,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0
14 - Φλώρινας,27 E.T. Δήμου Αμυνταίου,437,135,2,1,3,132,41,16,12,9,4,34,3,14,12,1,28,0,22,0,5,4,1,0,0,0,5,3,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,6,0,6,4,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
14 - Φλώρινας,28 E.T. Δήμου Αμυνταίου,424,95,2,2,4,91,38,27,2,2,5,21,3,10,2,0,18,0,14,0,1,2,0,0,1,0,4,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
14 - Φλώρινας,29 E.T. Δήμου Αμυνταίου,425,138,5,1,6,132,52,25,8,1,14,34,6,9,14,2,21,0,17,2,1,3,2,0,0,0,4,2,0,0,0,7,5,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,3
14 - Φλώρινας,30 E.T. Δήμου Αμυνταίου,535,143,2,0,2,141,47,19,1,1,15,33,9,7,6,8,15,0,2,7,5,18,1,15,0,0,11,6,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5
14 - Φλώρινας,31 E.T. Δήμου Αμυνταίου,464,254,5,0,5,249,49,16,4,3,23,112,29,12,37,22,22,0,2,6,10,26,0,16,0,0,5,3,0,0,1,7,1,2,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,0,0,14,10,0,0
14 - Φλώρινας,32 E.T. Δήμου Αμυνταίου,477,225,5,3,8,217,44,22,2,1,17,86,24,11,16,21,16,0,1,4,9,23,2,14,0,0,10,4,1,1,0,7,2,1,0,2,2,2,0,0,0,6,2,1,1,0,0,0,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,7,3,3,3
14 - Φλώρινας,33 E.T. Δήμου Αμυνταίου,451,255,8,1,9,246,54,28,4,2,19,93,36,11,16,20,35,2,1,15,15,30,1,16,2,6,0,0,0,0,0,7,1,0,2,1,0,0,0,0,0,2,0,1,0,0,1,1,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,5,0,0
14 - Φλώρινας,34 E.T. Δήμου Αμυνταίου,380,159,0,1,1,158,41,21,3,1,14,70,1,2,9,50,12,1,0,8,0,1,0,1,0,0,4,4,0,0,0,4,3,0,1,0,0,0,0,3,3,1,1,0,2,1,1,1,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0
14 - Φλώρινας,35 E.T. Δήμου Αμυνταίου,387,145,4,1,5,140,54,20,1,0,27,58,3,0,10,43,9,0,2,5,2,5,1,4,0,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
14 - Φλώρινας,36 E.T. Δήμου Αμυνταίου,271,135,7,0,7,128,46,31,2,0,13,17,5,3,9,0,28,3,3,10,9,10,0,7,0,1,9,5,0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,2,1,0,0,0,0,0,5,3,0,0
14 - Φλώρινας,37 E.T. Δήμου Αμυνταίου,228,131,2,1,3,128,59,13,3,0,39,14,2,0,7,2,33,1,0,9,21,3,0,1,1,1,5,0,1,1,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0
14 - Φλώρινας,38 E.T. Δήμου Αμυνταίου,483,231,4,1,5,226,56,36,1,2,14,57,26,14,9,6,39,3,9,18,3,22,2,15,0,1,11,7,1,1,1,12,1,4,6,2,2,0,0,0,0,2,1,0,1,0,1,0,1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,2,0,0,0,7,5,0,0,0,0,0,6,5,1,0
14 - Φλώρινας,39 E.T. Δήμου Αμυνταίου,463,242,6,0,6,236,50,17,0,1,22,70,22,21,14,4,39,2,2,25,3,31,3,19,0,2,4,3,0,0,0,12,2,2,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,4,1,2,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,6,1,0,2,1,0,0,3,1,0,0,0,7,3,0,0
14 - Φλώρινας,40 E.T. Δήμου Αμυνταίου,417,219,2,1,3,216,86,37,2,1,39,48,0,5,34,3,37,5,2,12,13,6,2,1,0,1,20,11,3,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,3,3
14 - Φλώρινας,41 E.T. Δήμου Αμυνταίου,422,215,4,0,4,211,87,37,1,1,43,64,2,2,41,9,22,2,4,8,7,6,0,4,0,0,7,6,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1
14 - Φλώρινας,42 E.T. Δήμου Αμυνταίου,423,212,2,2,4,208,96,29,9,2,51,40,1,5,22,5,29,2,1,7,15,9,0,7,0,0,3,1,1,0,0,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,13,3,8,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,2,1,2,0,0,0,0,2,2,0,0
