ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΕΩΡΓΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Παύλου,ΚΙΛΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΠΑΚΑ-ΚΥΜΠΑΡΙΔΗ ΚΑΛΛΙΣΘΕΝΗ του Σταύρου,ΣΑΚΑΛΑΚΗ ΑΝΝΑ του Σοφοκλή,ΣΑΧΠΕΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,ΣΥΡΙΖΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΛΕΩΝΙΔΑΣ του Κωνσταντίνου,ΕΜΜΑΝΟΥΗΛΙΔΟΥ ΔΗΜΗΤΡΑ του Παναγιώτη,ΠΑΝΑΓΙΩΤΙΔΟΥ ΜΑΡΙΑ (ΜΑΝΙΑ) του Αντωνίου,ΠΑΠΠΑΣ ΠΕΤΡΟΣ του Μιχαήλ,ΤΟΝΙΚΙΔΗΣ ΠΑΥΛΟΣ του Σπυρίδωνα,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΠΑΡΑΣΤΑΤΙΔΗΣ ΣΤΕΦΑΝΟΣ του Θεοδώρου,ΤΟΜΠΟΥΛΙΔΟΥ ΚΥΡΙΑΚΗ του Γεωργίου,ΦΡΑΓΓΙΔΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου,ΧΑΡΑΛΑΜΠΙΔΟΥ ΚΩΝΣΤΑΝΤΙΑ - ΑΥΡΑ (ΝΤΙΝΑ) του Γεωργίου,ΧΑΡΤΟΜΑΤΣΙΔΟΥ - ΝΤΑΣΗ ΑΝΑΣΤΑΣΙΑ του Σωτηρίου,Κ.Κ.Ε.,ΑΛΤΙΠΑΡΜΑΚΙΔΟΥ ΜΑΡΙΑ (ΡΙΑ) του Μιλτιάδη,ΝΙΚΟΛΑΪΔΟΥ ΣΤΑΥΡΟΥΛΑ του Κοσμά,ΣΜΥΔΑΚΗΣ ΧΑΜΟΥΡΟΥΔΗΣ ΗΛΙΑΣ του Παρασκευά,ΤΕΜΕΚΕΝΙΔΟΥ ΠΑΡΘΕΝΑ (ΜΕΜΑ) του Ιωάννη,ΤΣΑΟΥΣΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Λαζάρου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΓΓΕΛΑΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΓΕΩΡΓΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΜΠΑΣΛΗ ΜΑΡΙΑ του Αποστόλου,ΣΑΒΒΙΔΟΥ ΠΑΡΘΕΝΑ (ΝΟΥΛΑ) του Ιωάννη,ΤΣΑΝΤΗΛΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΟΥΛΙΝΑΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΜΑΛΙΑΡΑ ΔΕΣΠΟΙΝΑ του Άγγελου,ΜΠΙΜΠΑΣΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΡΕΠΠΑΣ ΣΤΕΦΑΝΟΣ του Σταματίου,ΣΠΥΡΛΙΑΔΟΥ ΣΟΦΙΑ του Νικολάου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΜΑΥΡΑΓΑΝΗ ΜΑΡΙΑ ΔΗΜΗΤΡΑ του Ανδρέα,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΚΩΝΣΤΑΝΤΙΝΑ του Στυλιανού,Ο.Κ.Δ.Ε.,ΚΑΖΑΝΤΖΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΔΡΕΑΔΟΥ ΗΛΕΚΤΡΑ του Ιωάννη,ΔΑΝΑΚΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΜΑΡΟΥΛΑΣΟΒ ΛΕΩΝΙΔΑΣ του Τσαμπούκα,Κίνημα 21,ΣΙΑΓΓΑΝΑΣ ΜΙΧΑΗΛ του Ιωάννη,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΠΑΜΑ ΣΠΥΡΟΥΛΑ του Ιωάννη,ΚΑΡΑΚΑΤΣΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΠΟΥΛΙΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΡΑΓΤΖΗ ΝΙΚΗ του Ιωάννη,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΔΗΜΟΣΘΕΝΗΣ του Μιχαήλ,ΝΙΚΗ,ΘΕΟΧΑΡΑΚΗΣ ΗΛΙΑΣ του Αθανασίου,ΚΑΜΠΑΤΑΓΗ ΑΝΑΣΤΑΣΙΑ του Γεωργίου,ΚΕΜΕΝΤΣΕΤΣΙΔΗΣ ΙΩΑΝΝΗΣ του Θεοφίλου,κοινωνία αξιών,ΘΗΡΑΙΟΥ ΕΛΕΥΘΕΡΙΑ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΟΥ ΑΝΝΑ του Κυριάκου,ΟΥΖΟΥΝΙΔΗΣ ΜΑΡΙΟΣ του Γρηγόριου,ΤΖΩΡΤΖΑΚΗΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΖΑΧΑΡΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Ευάγγελου,Ελλήνων Συνέλευσις,ΑΠΑΤΣΙΔΟΥ ΧΡΙΣΤΙΝΑ του Παναγιώτη,ΔΑΝΙΗΛΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Λαζάρου,ΜΙΧΑΗΛΙΔΗΣ ΠΑΥΛΟΣ του Αντωνίου,Ένωση Κεντρώων,ΚΑΡΑΚΩΣΤΗΣ ΔΗΜΗΤΡΙΟΣ του Στέργιου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΑΛΑΒΑΝΙΔΟΥ ΒΑΣΙΛΙΚΗ του Δημοσθένη,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΙΣΑΡΙΔΗΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΚΑΡΑΜΙΧΑΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,ΜΟΥΡΑΤΙΔΟΥ ΜΑΡΙΑ του Παναγιώτη,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΑΝΑΝΙΑΔΗΣ ΖΑΧΑΡΙΑΣ του Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΔΗΜΗΤΡΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΧΑΝΤΑΒΑΡΙΔΟΥ ΜΑΡΙΑ του Νικολάου,ΕΑΝ...,ΠΑΠΑΛΕΞΟΠΟΥΛΟΣ ΑΓΓΕΛΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΜΟΥΡΑΤΙΔΗΣ ΧΡΗΣΤΟΣ του Παύλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΙΟΥΡΗ ΕΥΑΓΓΕΛΙΑ του Σωτηρίου
10 - Κιλκίς,179 E.T. Δήμου Παιονίας,450,216,3,5,8,208,77,20,20,24,4,5,22,4,3,0,3,8,21,8,2,5,3,2,15,7,1,4,0,1,25,1,3,5,10,2,6,1,1,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,15,7,1,6,0,0,1,0,1,0,0,0,0,0,0,0,5,3,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,9,7
10 - Κιλκίς,180 E.T. Δήμου Παιονίας,386,231,2,0,2,229,84,36,20,12,3,11,33,4,5,7,6,3,40,20,3,15,0,2,5,1,0,0,1,1,22,2,2,1,10,1,5,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,17,7,0,7,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,3
10 - Κιλκίς,181 E.T. Δήμου Παιονίας,478,296,3,1,4,292,130,50,60,4,6,6,44,1,2,4,13,18,50,28,0,18,0,1,8,1,2,0,0,0,13,1,2,0,6,0,6,2,1,1,1,0,2,2,5,2,0,0,5,2,3,0,0,0,2,1,0,0,1,0,13,7,2,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,3,3,5,3
10 - Κιλκίς,182 E.T. Δήμου Παιονίας,480,293,3,1,4,289,111,27,50,7,6,20,29,4,6,5,7,4,66,42,1,23,0,0,20,2,2,10,2,0,17,4,2,2,5,1,9,2,1,0,0,3,1,0,2,1,1,1,1,0,0,0,1,0,3,0,1,0,0,1,9,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,2,1,0,0,2,1,0,0,1,0,3,2,0,0,7,6
10 - Κιλκίς,183 E.T. Δήμου Παιονίας,484,315,1,0,1,314,153,45,78,7,5,11,23,2,1,2,11,4,44,32,0,9,2,0,20,2,3,9,1,0,12,2,2,1,4,0,8,2,2,0,0,2,0,0,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,1,0,1,1,10,8
10 - Κιλκίς,184 E.T. Δήμου Παιονίας,509,325,3,1,4,321,143,50,64,9,7,9,32,4,4,3,8,10,36,20,0,12,2,1,39,2,3,22,5,1,13,3,2,1,5,1,10,1,1,1,0,2,4,2,5,2,0,0,0,0,0,0,2,2,2,1,0,0,1,0,19,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,1,1,6,2,4,4
10 - Κιλκίς,185 E.T. Δήμου Παιονίας,556,377,13,1,14,363,196,93,45,13,23,14,32,3,9,2,5,4,44,33,0,5,0,1,7,1,1,1,0,0,28,4,7,3,8,0,4,0,0,0,0,2,6,3,0,0,1,1,1,0,1,0,2,1,10,1,2,2,0,2,13,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,11,3
10 - Κιλκίς,186 E.T. Δήμου Παιονίας,545,404,10,2,12,392,160,67,40,15,18,17,70,2,22,6,25,9,59,32,2,23,0,0,18,4,1,5,0,2,34,7,3,4,11,2,6,1,1,0,0,0,6,5,0,0,0,0,1,1,0,0,3,3,8,2,0,1,0,2,9,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,0,1,0,0,3,3,1,0,0,0,0,0,8,7
10 - Κιλκίς,187 E.T. Δήμου Παιονίας,527,348,7,3,10,338,140,47,39,11,20,9,43,2,7,5,19,6,41,32,0,8,0,0,13,6,1,0,0,2,35,2,10,3,15,1,6,2,0,0,0,2,2,1,3,2,0,0,3,2,0,0,2,2,7,0,1,2,0,2,12,4,3,1,2,2,1,0,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,5,5,2,1,0,0,1,1,16,11
10 - Κιλκίς,188 E.T. Δήμου Παιονίας,273,172,3,0,3,169,81,31,28,3,4,3,37,1,27,3,2,1,11,5,0,2,1,1,3,0,1,1,0,0,18,2,1,2,8,0,3,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,2,2
10 - Κιλκίς,189 E.T. Δήμου Παιονίας,513,340,3,1,4,336,187,55,82,19,13,9,33,4,8,8,8,2,57,18,1,36,0,1,5,0,0,0,0,1,13,2,2,1,7,0,6,1,1,1,0,1,3,2,0,0,0,0,3,2,0,0,2,0,2,0,0,2,0,0,11,6,0,2,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,1,0,0,0,0,5,5
10 - Κιλκίς,190 E.T. Δήμου Παιονίας,677,433,3,0,3,430,180,44,68,8,17,32,46,1,8,6,23,5,102,39,3,52,2,1,13,4,1,2,0,0,35,6,4,2,19,2,8,2,1,0,2,0,6,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,11,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,1,3,2,1,1,1,1,15,11
10 - Κιλκίς,191 E.T. Δήμου Παιονίας,455,214,0,0,0,214,126,64,31,12,8,6,19,1,1,0,8,5,21,14,0,5,0,1,6,0,0,6,0,0,13,2,3,4,1,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,0,1,0,0,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,7,3
10 - Κιλκίς,192 E.T. Δήμου Παιονίας,547,307,11,3,14,293,134,37,38,14,29,5,22,1,1,6,4,8,34,22,0,9,0,2,25,9,0,14,0,1,28,3,2,2,10,9,3,1,0,0,0,0,2,2,1,0,0,0,2,1,0,0,6,5,7,0,4,0,0,0,10,2,3,3,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,1,3,1,0,0,1,0,3,2,0,0,0,0,0,0,8,5
10 - Κιλκίς,193 E.T. Δήμου Παιονίας,542,358,1,1,2,356,168,57,56,15,19,7,38,5,5,7,12,6,36,21,2,9,1,2,21,4,0,17,0,0,23,3,4,3,5,0,6,1,0,0,2,0,5,5,0,0,0,0,0,0,0,0,6,6,8,2,4,0,0,1,19,7,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,3,3,1,1,3,3,0,0,13,8
10 - Κιλκίς,194 E.T. Δήμου Παιονίας,536,312,9,0,9,303,105,40,23,13,16,1,41,0,3,7,20,10,51,24,0,21,1,5,27,0,1,24,0,0,24,3,2,2,7,1,4,2,1,0,1,0,4,3,0,0,1,0,0,0,0,0,3,2,7,0,6,0,0,0,22,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,4
10 - Κιλκίς,195 E.T. Δήμου Παιονίας,536,333,2,2,4,329,151,55,48,18,16,6,42,4,6,8,16,7,45,20,1,11,3,7,18,1,0,14,0,1,16,6,1,3,0,1,3,1,0,0,0,1,5,4,1,1,1,1,1,1,0,0,3,1,10,1,7,1,0,0,18,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,3,3,0,0,0,0,8,5
10 - Κιλκίς,196 E.T. Δήμου Παιονίας,548,321,9,3,12,309,140,55,35,18,21,2,25,2,6,5,5,3,38,18,0,13,1,3,28,7,0,16,0,0,19,1,4,0,6,1,7,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2,10,2,7,1,0,0,13,7,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,3,0,3,3,1,0,10,7
10 - Κιλκίς,197 E.T. Δήμου Παιονίας,565,301,2,0,2,299,131,37,53,12,14,0,36,6,3,7,9,4,48,26,1,11,1,5,22,0,0,19,1,2,13,4,3,1,1,0,4,2,0,1,1,0,3,2,1,1,0,0,1,1,0,0,3,2,3,1,1,0,0,0,16,8,2,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,2,0,0,3,3,0,0,8,5
10 - Κιλκίς,198 E.T. Δήμου Παιονίας,544,351,8,3,11,340,160,52,52,17,26,4,31,4,4,9,6,4,49,30,0,11,0,4,21,7,1,12,0,0,22,5,4,0,3,5,6,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,4,2,0,1,0,0,1,19,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0,0,2,1,1,2,2,1,1,3,3,0,0,11,5
10 - Κιλκίς,199 E.T. Δήμου Παιονίας,531,290,4,0,4,286,96,29,36,8,12,3,53,8,6,5,16,13,51,29,1,9,1,8,23,6,1,14,1,0,11,5,1,0,3,1,8,4,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,2,7,0,5,0,0,0,16,7,2,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,2,2,1,0,0,0,0,3,3,0,0,1,0,0,0,7,7
10 - Κιλκίς,200 E.T. Δήμου Παιονίας,543,304,6,1,7,297,134,39,43,12,25,3,35,3,1,5,17,6,36,17,5,11,1,2,30,0,0,27,0,0,19,4,2,3,4,2,2,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,5,0,5,0,0,0,19,7,5,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,4,1,0,0,3,3,0,0,3,3
10 - Κιλκίς,201 E.T. Δήμου Παιονίας,497,288,3,3,6,282,124,53,37,7,14,4,26,2,2,2,14,3,34,19,1,10,0,4,18,5,0,12,0,0,14,0,3,3,3,3,7,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,8,8,10,0,7,0,0,2,19,5,1,6,2,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,4,0,0,4,0,0,2,2,0,0,2,2,1,1,3,2
10 - Κιλκίς,202 E.T. Δήμου Παιονίας,652,404,8,3,11,393,194,40,72,9,38,16,37,2,6,4,16,4,28,8,1,17,0,1,23,7,3,7,0,1,40,6,4,3,22,0,12,2,1,0,1,3,5,1,1,1,0,0,5,0,2,0,3,3,9,0,2,1,0,4,13,4,1,4,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,1,4,2,0,1,0,0,2,2,2,2,0,0,0,0,9,7
10 - Κιλκίς,203 E.T. Δήμου Παιονίας,464,260,3,0,3,257,70,19,26,5,9,3,45,5,2,1,27,2,56,22,2,30,0,1,37,5,1,26,0,1,15,3,2,0,8,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,3,0,0,0,0,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,1,1,1,0,0,0,2,2,10,8
10 - Κιλκίς,204 E.T. Δήμου Παιονίας,485,270,5,0,5,265,75,14,36,5,14,0,43,1,2,8,16,12,51,22,2,19,0,6,35,2,4,24,1,0,20,0,1,0,10,1,6,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,0,6,0,0,2,0,0,1,1,1,1,1,1,1,1,13,10
10 - Κιλκίς,205 E.T. Δήμου Παιονίας,423,277,4,1,5,272,118,75,29,8,0,1,19,0,2,4,10,3,75,52,1,17,3,1,8,1,1,4,0,0,7,1,1,0,5,0,3,0,1,0,0,1,1,0,0,0,0,0,2,2,0,0,1,1,4,0,1,0,0,1,16,10,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,4,1,0,3,0,0,2,1,0,0,1,0,4,2,5,4
10 - Κιλκίς,206 E.T. Δήμου Παιονίας,420,259,6,0,6,253,126,69,22,22,4,0,21,0,1,4,8,3,43,32,1,7,0,2,10,2,3,3,0,0,16,5,1,4,4,0,6,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,15,7,3,2,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,6,5
10 - Κιλκίς,207 E.T. Δήμου Παιονίας,406,246,0,2,2,244,144,62,47,15,5,6,17,1,2,4,2,3,39,25,0,11,0,2,6,0,1,1,1,0,10,5,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2,0,1,1,0,0,0,0,7,3
10 - Κιλκίς,208 E.T. Δήμου Παιονίας,127,92,0,1,1,91,77,32,12,24,0,4,1,0,0,0,1,0,3,1,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10 - Κιλκίς,209 E.T. Δήμου Παιονίας,357,172,2,0,2,170,78,34,10,1,19,7,18,1,0,1,9,7,27,17,0,8,0,0,12,4,1,4,0,1,9,1,3,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,11,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,2,2,0,0,0,0,0,0,5,2
10 - Κιλκίς,210 E.T. Δήμου Παιονίας,356,207,2,0,2,205,107,31,36,2,27,11,23,2,2,3,13,3,27,21,1,1,0,2,6,1,0,3,0,1,16,3,2,0,8,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2,4,4
10 - Κιλκίς,211 E.T. Δήμου Παιονίας,335,186,5,1,6,180,60,23,21,1,4,9,22,2,1,5,6,6,52,33,1,8,0,7,18,3,0,9,0,1,7,3,1,0,2,0,4,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4
10 - Κιλκίς,212 E.T. Δήμου Παιονίας,497,298,10,0,10,288,99,37,21,6,12,20,28,2,6,3,10,3,85,47,1,18,0,19,13,2,3,8,0,0,30,3,5,0,14,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,4,0,3,0,0,1,13,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,2,2,1,1
10 - Κιλκίς,213 E.T. Δήμου Παιονίας,111,56,0,1,1,55,23,4,11,0,4,2,6,0,1,0,4,0,12,11,0,0,0,1,6,5,0,1,0,0,3,0,3,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
10 - Κιλκίς,214 E.T. Δήμου Παιονίας,580,268,3,1,4,264,96,36,29,10,17,0,48,3,4,13,11,11,43,22,2,7,0,6,19,1,0,15,0,0,18,5,2,0,7,0,5,2,0,0,1,0,1,1,0,0,0,0,2,1,0,0,2,1,4,0,4,0,0,0,14,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,1,1,0,0,2,0,1,0,0,0,4,2
10 - Κιλκίς,215 E.T. Δήμου Παιονίας,353,188,4,2,6,182,72,24,7,10,16,6,37,2,3,4,10,13,24,9,2,5,0,6,15,2,4,6,0,1,9,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,3,0,1,0,4,2
10 - Κιλκίς,216 E.T. Δήμου Παιονίας,351,165,6,0,6,159,85,35,20,8,14,7,20,2,3,1,6,6,21,10,5,5,0,1,9,2,0,4,0,2,8,0,2,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,3,2
10 - Κιλκίς,217 E.T. Δήμου Παιονίας,401,154,1,1,2,152,53,15,8,5,20,3,22,0,3,0,15,1,40,24,0,10,0,6,19,4,1,6,2,0,8,1,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
10 - Κιλκίς,218 E.T. Δήμου Παιονίας,411,152,0,1,1,151,46,19,7,1,15,3,20,4,2,0,8,2,44,18,1,20,0,4,11,3,0,6,0,0,19,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,2,2
10 - Κιλκίς,219 E.T. Δήμου Παιονίας,416,180,5,0,5,175,49,21,12,2,12,2,31,1,5,1,11,5,51,27,7,9,0,6,14,6,0,3,0,0,4,1,1,0,1,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,3,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,6,6
10 - Κιλκίς,220 E.T. Δήμου Παιονίας,558,271,10,1,11,260,74,30,29,3,7,4,21,2,1,0,10,6,85,54,0,12,0,18,7,0,1,5,0,0,39,3,7,5,15,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,12,2,4,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,10,5
10 - Κιλκίς,221 E.T. Δήμου Παιονίας,565,295,1,2,3,292,100,25,42,4,17,4,18,1,1,2,5,6,107,57,0,16,0,34,14,0,0,12,0,0,20,0,12,1,4,0,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,3,4,1,0,0,1,0,0,0,0,0,1,1,0,0,8,5
10 - Κιλκίς,Ετερ. Κιλκίς (από 23ο Ε.Τ. Νομ. Θεσσαλονικης),467,261,4,0,4,257,107,35,31,11,10,3,36,4,8,5,8,4,36,13,6,6,2,2,20,1,2,2,2,3,17,2,4,1,7,0,7,0,2,1,2,0,2,1,1,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,2,0,0,0,0,0,0,12,3
10 - Κιλκίς,Ετερ. Κιλκίς (από Εφετείο Θεσσαλονίκης),40,22,1,0,1,21,6,2,2,0,1,0,5,1,0,1,1,1,2,1,0,1,0,0,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
10 - Κιλκίς,Ετερ. Κιλκίς (από 100ο Ε.Τ. Νομ. Αττικης-Αθηνών),302,209,2,0,2,207,89,40,19,8,11,7,50,5,7,8,15,8,22,16,2,2,0,1,18,4,4,0,1,4,4,0,0,0,2,2,9,2,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,5,3
Σύνολο,,101040,55760,929,236,1165,54595,22172,7906,6732,3081,1601,1628,7450,640,520,510,2743,2179,9469,5101,277,3366,97,269,3518,583,487,596,300,851,3784,629,746,295,1210,130,993,172,140,102,61,189,262,172,96,54,29,12,164,64,19,19,279,180,456,48,105,59,17,82,2865,1250,324,712,42,28,84,13,38,13,33,19,80,34,16,11,208,111,151,107,329,74,28,127,59,32,290,204,191,108,151,99,96,53,1344,885
