ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΕΦΑΛΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Αχιλλέα,ΝΙΚΗΦΟΡΟΥ ΑΡΤΕΜΙΣ του Γεωργίου,ΠΑΠΑΔΑΚΗ ΔΕΣΠΟΙΝΑ του Εμμανουήλ,ΤΣΟΥΝΤΑΝΗΣ ΓΑΒΡΙΗΛ του Ιωάννη,ΣΥΡΙΖΑ,ΔΟΥΛΟΥΜΠΕΚΗΣ ΘΕΟΔΩΡΟΣ του Ευάγγελου,ΚΙΑΓΙΑ ΣΤΥΛΙΑΝΗ ΒΑΡΒΑΡΑ του Θωμά,ΜΑΝΟΥΣΑΚΗ ΧΡΥΣΟΥΛΑ του Νικολάου,ΞΑΝΘΟΣ ΑΝΔΡΕΑΣ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΟΤΖΑΝΑΚΗ ΚΑΣΑΝΔΡΑ του Γεωργίου,ΜΙΧΑΛΑ ΕΛΕΥΘΕΡΙΑ του Ελευθερίου,ΣΚΟΥΝΤΗΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΧΝΑΡΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Κ.Κ.Ε.,ΔΑΚΑΝΑΛΗ ΙΩΑΝΝΑ του Χαράλαμπου,ΚΑΛΘΙ ΣΙΝΤΟΡΕΛΑ του Ντεντ,ΜΑΝΙΑΒΟΣ ΕΥΣΤΡΑΤΙΟΣ του Σωτηρίου,ΜΑΝΟΥΣΟΓΙΑΝΝΗΣ ΜΑΝΟΥΣΟΣ του Ιωσήφ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΜΖΕΛΗΣ ΘΩΜΑΣ του Ανδρέα,ΜΩΡΑΪΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Σταύρου,ΤΣΟΡΑΚΙΔΟΥ ΕΙΡΗΝΗ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΝΤΩΝΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Αναστασίου,ΤΣΑΚΑΝΑΚΗ ΑΙΚΑΤΕΡΙΝΗ-ΚΑΝΕΛΛΑ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΚΟΓΙΑΝΝΑΚΗ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΔΕΛΗΓΙΩΡΓΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΑΝΤΡΕΑΣ) του Μιχαήλ,ΠΑΠΠΑ ΧΡΙΣΤΙΝΑ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΣΗΦΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αντωνίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΘΕΟΔΩΡΑΚΗΣ  ΜΙΧΑΗΛ του Αναστασίου,ΣΑΒΒΑΚΗ ΕΥΓΕΝΙΑ του Κωνσταντίνου,Κίνημα 21,ΒΑΜΒΟΥΚΑ ΜΑΡΙΝΑ του Γεωργίου,ΝΙΚΟΛΑΚΑΚΗΣ ΜΑΡΚΟΣ του Πέτρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΤΖΙΝΑΣ ΑΠΟΣΤΟΛΟΣ του Νικηφόρου,ΤΡΟΥΛΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΝΙΚΗ,ΡΗΓΙΝΙΩΤΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννου,ΣΤΡΑΤΗΓΑΚΗ ΕΙΡΗΝΗ του Γεωργίου,κοινωνία αξιών,ΔΑΒΑΡΗ ΕΛΕΝΗ (ΕΛΕΝΑ) του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΕΤΟΥΣΗΣ ΤΗΛΕΜΑΧΟΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΠΑΓΙΑΡΤΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΒΙΒΙΛΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωάννη,ΚΑΠΝΙΣΤΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΚΥΜΙΩΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΣΤΑΚΚΟΥ ΚΟΝΤΕΣΣΑ του Σπύρου,Ένωση Κεντρώων,ΑΡΑΠΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,ΝΟΥΦΡΑΚΗ ΑΘΑΝΑΣΙΑ του Σπυρίδωνα,ΧΑΒΑΡΑΝΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΠΑΓΩΝΗΣ ΓΙΑΝΝΗΣ του Δημητρίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΙΑΝΝΙΚΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΜΑΡΚΙΔΗΣ ΕΜΜΑΝΟΥΗΛ του Τίτου,ΠΑΓΟΥΡΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Στυλιανού,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΒΟΓΙΑΤΖΑΚΗ ΕΛΕΝΗ του Εμμανουήλ,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΒΑΓΚΟΤΗ ΕΛΕΝΗ του Ευαγγέλου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΡΟΚΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,Οικολόγοι Πράσινοι,ΚΑΒΑΚΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Πανταζή,ΕΑΝ...,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Στεφάνου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΜΑΡΙΝΑ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΡΑΝΑΚΗΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ
54 - Ρεθύμνης,1 E.T. Δήμου Αγίου Βασιλείου,369,228,4,6,10,218,60,41,5,6,5,47,27,1,3,16,47,19,8,5,14,20,9,2,2,3,5,1,0,2,8,0,4,1,1,1,1,0,0,0,1,0,1,2,2,0,0,0,0,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,3,3,0,0,1,1,1,0,1,1,7,7
54 - Ρεθύμνης,2 E.T. Δήμου Αγίου Βασιλείου,384,238,4,2,6,232,95,67,3,6,8,33,7,1,0,23,47,14,13,6,10,11,1,2,0,3,10,4,2,2,10,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,0,3,2,1,0,6,6,0,0,0,0,3,2
54 - Ρεθύμνης,3 E.T. Δήμου Αγίου Βασιλείου,302,211,5,2,7,204,65,53,8,2,0,26,12,1,3,5,74,70,1,0,2,6,1,1,0,2,6,4,0,1,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,4,1
54 - Ρεθύμνης,4 E.T. Δήμου Αγίου Βασιλείου,287,204,1,0,1,203,71,58,3,1,4,28,8,0,1,13,67,65,0,1,1,15,1,1,1,8,2,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,5,3,0,0,0,0,3,2
54 - Ρεθύμνης,5 E.T. Δήμου Αγίου Βασιλείου,385,248,1,2,3,245,76,48,7,4,9,74,47,0,0,23,55,22,3,8,18,7,0,0,0,5,2,0,1,0,3,1,1,0,0,0,0,0,0,0,2,1,1,2,1,1,5,1,1,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,2,1,1,1,2,0,1,1,4,0
54 - Ρεθύμνης,6 E.T. Δήμου Αγίου Βασιλείου,367,200,1,2,3,197,67,46,4,1,6,46,28,0,6,9,54,7,1,6,39,10,2,0,0,6,2,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,8,6,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54 - Ρεθύμνης,7 E.T. Δήμου Αγίου Βασιλείου,254,156,3,2,5,151,64,41,6,6,6,27,5,0,2,16,31,11,2,8,8,1,1,0,0,0,6,1,2,1,4,1,1,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,2
54 - Ρεθύμνης,8 E.T. Δήμου Αγίου Βασιλείου,75,43,0,0,0,43,10,7,0,1,0,11,2,0,0,9,8,0,6,0,2,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54 - Ρεθύμνης,9 E.T. Δήμου Αγίου Βασιλείου,304,222,0,0,0,222,69,52,1,2,10,52,24,0,1,24,82,6,8,9,56,6,2,0,0,3,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
54 - Ρεθύμνης,10 E.T. Δήμου Αγίου Βασιλείου,236,133,1,1,2,131,35,20,3,6,4,25,12,0,0,9,37,7,4,7,14,6,3,0,0,2,6,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,2,2,0,1,0,0,0,0,0,2,0,1,0,0,0,5,2
54 - Ρεθύμνης,11 E.T. Δήμου Αγίου Βασιλείου,281,187,1,0,1,186,84,64,3,14,1,36,5,3,3,25,36,10,6,5,15,6,2,0,0,1,4,2,0,1,4,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,6,5
54 - Ρεθύμνης,12 E.T. Δήμου Αγίου Βασιλείου,220,141,2,1,3,138,49,30,3,3,2,25,11,0,1,10,27,10,4,4,6,2,0,0,0,0,5,0,3,1,4,0,1,3,3,0,0,0,0,0,1,0,0,3,1,2,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,6,0,0,1,0,0,0,1,1,1,0,0,0,3,2
54 - Ρεθύμνης,13 E.T. Δήμου Αγίου Βασιλείου,214,155,1,1,2,153,55,38,2,5,8,37,4,0,24,7,33,7,5,5,14,5,2,1,0,1,7,3,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,3,3
54 - Ρεθύμνης,14 E.T. Δήμου Αγίου Βασιλείου,243,163,2,1,3,160,46,32,2,1,6,33,17,0,1,15,43,8,2,10,23,7,4,0,0,2,5,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,9,7
54 - Ρεθύμνης,15 E.T. Δήμου Αγίου Βασιλείου,403,234,4,2,6,228,93,58,10,7,10,30,6,0,12,11,46,18,0,4,22,25,4,0,0,15,2,1,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,8,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,5,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,3,1
54 - Ρεθύμνης,16 E.T. Δήμου Αγίου Βασιλείου,397,220,3,0,3,217,54,38,3,4,3,51,5,3,5,33,39,12,2,4,20,39,10,0,0,19,5,0,3,2,4,1,2,0,0,1,0,1,0,0,0,0,0,2,2,0,1,0,0,7,6,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,3,1,1,1,0,0,2,0,1,1,1,1,0,0,0,0,2,1
54 - Ρεθύμνης,17 E.T. Δήμου Αγίου Βασιλείου,409,319,7,2,9,310,92,47,5,16,14,66,22,4,4,30,70,21,10,18,13,20,6,6,0,7,13,4,2,5,9,1,4,2,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,3,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,8,5,2,1,0,0,2,2,0,0,3,2,0,0,0,0,14,11
54 - Ρεθύμνης,18 E.T. Δήμου Αγίου Βασιλείου,303,209,2,1,3,206,70,49,0,4,12,46,5,1,2,36,53,10,7,13,21,5,2,0,0,1,1,0,1,0,5,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,1,2,1,0,0,0,0,1,0,1,1,0,0,2,1,5,2
54 - Ρεθύμνης,19 E.T. Δήμου Αγίου Βασιλείου,72,51,0,0,0,51,36,24,3,3,6,2,2,0,0,0,7,3,0,0,3,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54 - Ρεθύμνης,20 E.T. Δήμου Αγίου Βασιλείου,316,176,3,3,6,170,61,53,0,1,7,34,9,0,7,18,49,26,3,4,15,4,2,0,1,0,5,1,2,0,6,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
54 - Ρεθύμνης,21 E.T. Δήμου Αγίου Βασιλείου,154,117,1,1,2,115,71,56,6,0,8,14,4,1,1,8,18,0,3,3,10,1,0,0,0,0,3,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
54 - Ρεθύμνης,22 E.T. Δήμου Αγίου Βασιλείου,159,107,0,2,2,105,43,33,2,5,2,18,5,0,0,11,18,1,5,1,9,3,0,0,1,1,6,0,3,3,8,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54 - Ρεθύμνης,23 E.T. Δήμου Αγίου Βασιλείου,142,93,0,0,0,93,42,36,1,0,3,10,6,0,1,3,28,2,1,4,20,3,1,0,0,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54 - Ρεθύμνης,24 E.T. Δήμου Αγίου Βασιλείου,349,249,4,0,4,245,100,73,9,7,6,39,13,2,1,21,54,3,4,15,29,9,3,0,1,3,5,0,2,1,2,1,1,0,0,0,0,0,0,0,3,3,0,5,1,2,0,0,0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5,3,0,0,4,0,0,0,2,1,0,0,0,0,7,4
54 - Ρεθύμνης,25 E.T. Δήμου Αγίου Βασιλείου,225,144,6,1,7,137,43,28,2,3,7,14,3,0,2,7,34,8,2,5,18,1,0,0,1,0,3,1,2,0,15,1,10,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,5,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,11,3,7,1,0,0,0,0,1,0,1,1,2,1,0,0,3,3
54 - Ρεθύμνης,26 E.T. Δήμου Αγίου Βασιλείου,467,314,6,0,6,308,93,60,3,7,13,69,17,2,1,45,42,14,5,12,8,33,4,0,10,5,10,1,3,3,7,2,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,5,2,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,18,4,7,5,1,0,2,1,0,0,2,1,1,0,1,1,13,5
54 - Ρεθύμνης,27 E.T. Δήμου Αγίου Βασιλείου,398,269,0,3,3,266,76,47,6,9,7,54,10,1,1,36,79,10,19,19,28,8,3,0,1,1,8,3,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,4,0,3,2,1,0,7,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,2,4,0,0,1,1,3,2,3,3,0,0,0,0,8,8
54 - Ρεθύμνης,28 E.T. Δήμου Αγίου Βασιλείου,279,202,7,1,8,194,100,64,1,21,9,26,7,1,3,13,22,1,5,4,11,6,2,0,1,0,4,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,12,10,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,4,2,0,0,2,1,9,7
54 - Ρεθύμνης,29 E.T. Δήμου Αγίου Βασιλείου,462,302,10,2,12,290,115,78,9,9,11,52,16,1,1,30,39,0,6,15,10,23,9,1,5,4,6,2,0,0,12,0,8,2,1,0,0,0,1,1,9,3,4,2,2,0,2,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,0,3,0,0,0,0,1,1,3,2,1,1,1,1,10,7
54 - Ρεθύμνης,30 E.T. Δήμου Αγίου Βασιλείου,390,264,9,2,11,253,88,62,5,2,5,59,22,3,4,22,72,1,4,1,65,8,2,0,1,1,3,0,0,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,1,0,0,2,1,1,1,0,0,6,4
54 - Ρεθύμνης,31 E.T. Δήμου Αγίου Βασιλείου,324,233,6,2,8,225,69,45,5,5,11,57,22,2,2,23,34,5,3,3,20,15,1,0,8,2,9,2,3,2,10,1,5,0,0,0,0,0,0,0,5,1,1,1,0,1,0,0,0,4,1,3,0,0,1,1,0,0,3,0,0,3,0,0,0,0,0,1,1,5,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,10,9
54 - Ρεθύμνης,32 E.T. Δήμου Αγίου Βασιλείου,340,238,8,1,9,229,65,43,8,3,6,64,22,4,2,33,44,9,3,9,22,20,5,1,6,4,4,1,1,1,2,0,2,1,1,0,0,0,1,1,1,1,0,0,0,0,2,1,1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,2,1,1,0,1,1,0,0,1,1,0,0,1,1,12,8
54 - Ρεθύμνης,33 E.T. Δήμου Αμαρίου,57,36,1,0,1,35,13,11,1,0,1,6,1,0,0,3,13,0,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54 - Ρεθύμνης,34 E.T. Δήμου Αμαρίου,119,93,0,0,0,93,39,26,5,1,4,13,1,0,0,11,21,3,0,17,0,7,0,5,0,1,3,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
54 - Ρεθύμνης,35 E.T. Δήμου Αμαρίου,189,113,4,0,4,109,42,23,8,3,3,8,2,0,1,5,26,13,0,3,10,6,2,0,0,4,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
54 - Ρεθύμνης,36 E.T. Δήμου Αμαρίου,103,57,2,0,2,55,16,9,0,2,1,7,1,0,1,5,16,1,1,4,7,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,2
54 - Ρεθύμνης,37 E.T. Δήμου Αμαρίου,156,82,0,0,0,82,46,31,6,0,4,15,1,0,2,10,9,0,0,6,3,0,0,0,0,0,5,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54 - Ρεθύμνης,38 E.T. Δήμου Αμαρίου,91,70,1,0,1,69,20,13,3,1,2,14,8,0,0,4,18,0,1,10,7,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
54 - Ρεθύμνης,39 E.T. Δήμου Αμαρίου,267,171,1,1,2,169,80,69,6,1,2,16,5,0,0,9,62,7,2,9,42,1,1,0,0,0,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,2
54 - Ρεθύμνης,40 E.T. Δήμου Αμαρίου,353,201,3,2,5,196,85,58,6,9,6,32,3,0,1,19,48,12,0,9,23,5,1,1,0,3,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2
54 - Ρεθύμνης,41 E.T. Δήμου Αμαρίου,109,70,0,2,2,68,24,16,0,1,5,11,2,0,0,9,27,0,3,16,8,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
54 - Ρεθύμνης,42 E.T. Δήμου Αμαρίου,220,157,2,0,2,155,35,21,4,2,6,46,12,1,4,28,54,0,4,26,21,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
54 - Ρεθύμνης,43 E.T. Δήμου Αμαρίου,459,281,6,4,10,271,128,101,16,2,1,37,1,0,4,26,68,9,1,10,44,10,3,0,0,3,4,2,0,2,2,2,0,2,1,0,0,0,0,0,4,0,4,1,0,1,1,0,1,4,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1
54 - Ρεθύμνης,44 E.T. Δήμου Αμαρίου,493,327,1,1,2,325,103,74,6,5,3,53,7,0,4,35,98,8,5,69,10,22,7,2,1,10,1,0,0,0,5,0,3,1,0,0,0,0,0,0,2,0,0,2,1,1,2,1,0,14,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,1,0,4,1,0,0,0,0,10,6
54 - Ρεθύμνης,45 E.T. Δήμου Αμαρίου,308,205,1,0,1,204,37,31,1,0,0,33,15,0,0,15,108,2,0,101,4,8,1,0,2,2,4,1,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,3,2
54 - Ρεθύμνης,46 E.T. Δήμου Αμαρίου,269,142,0,0,0,142,42,31,1,3,3,57,1,1,2,53,21,2,1,8,8,1,1,0,0,0,7,3,2,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,0,0,3,3,0,0
54 - Ρεθύμνης,47 E.T. Δήμου Αμαρίου,383,249,4,0,4,245,96,37,46,7,6,41,7,1,4,27,78,0,1,71,5,4,1,0,1,0,3,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,3,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1
