ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΜΕΤ ΟΓΛΟΥ ΧΟΥΜΕΪΡΑ του Φεχμή,ΝΤΕΛΗ ΓΙΟΥΣΟΥΦ του Χουσεΐν,ΣΑΛΤΟΥΡΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΤΣΙΑΚΙΡΟΓΛΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Σωτηρίου,ΤΣΙΛΙΓΓΙΡΗΣ ΣΠΥΡΙΔΩΝ (ΣΠΥΡΟΣ) του Γεωργίου,ΣΥΡΙΖΑ,ΓΙΑΝΝΑΚΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Αλέξανδρου,ΖΕΪΜΠΕΚ ΧΟΥΣΕΪΝ του Χασάν,ΚΥΝΗΓΟΠΟΥΛΟΥ ΑΘΗΝΑ του Απόστολου,ΣΤΟΓΙΑΝΝΙΔΗΣ ΓΡΗΓΟΡΙΟΣ του Κωνσταντίνου,ΤΖΑΜΠΑΖΗ ΜΑΡΙΑ του Ηλία,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΒΟΥΡΒΟΥΚΕΛΗΣ ΟΔΥΣΣΕΑΣ του Νικολάου,ΚΑΡΑΛΙΔΗΣ ΦΩΤΙΟΣ του Γεωργίου,ΜΠΑΡΑΝ ΜΠΟΥΡΧΑΝ του Νετζαντή,ΝΤΕΛΗ ΙΜΠΡΑΗΜ ΜΠΕΡΗΜ του Χαμδή,ΠΑΡΧΑΡΙΔΟΥ (ΚΟΥΤΣΟΥΜΠΑ) ΕΡΣΑΪΑ (ΕΡΣΗ) του Παύλου,Κ.Κ.Ε.,ΒΑΚΙΡΤΖΗΣ ΕΥΑΓΓΕΛΟΣ (ΜΠΑΚΕΡΟ) του Χρήστου,ΜΑΞΟΥΜ ΜΠΙΡΓΚΙΟΥΛ του Ισμέτ,ΜΑΧΑΙΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Βίκτορα,ΡΟΪΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Ιωάννη,ΦΩΤΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Πολύκαρπου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΣΤΗ ΚΑΛΛΙΟΠΗ του Ιωάννη,ΚΟΥΤΕΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΜΥΛΩΝΑΣ ΓΕΩΡΓΙΟΣ του Ανέστη,ΠΑΥΛΙΔΟΥ ΕΥΔΟΚΙΑ του Αποστόλου,ΤΡΑΜΠΑ ΤΖΕΜΑΛΗ του Σαμπρή,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΟΣΜΙΔΗΣ ΝΙΚΟΣ του Αντωνίου,ΜΟΥΣΑ ΓΚΙΟΚΜΕΝ του Τζεμήλ,ΠΑΠΑΔΟΥΔΗΣ ΑΝΤΩΝΙΟΣ του Χριστόφορου,ΠΑΣΣΑ-ΖΟΥΝΧΙΑ ΑΝΝΟΥΛΑ (ΑΝΝΑ) του Ιωάννη,ΤΣΑΜΠΑΖΗ ΖΑΦΕΙΡΩ (ΗΡΩ) του Ιωάννη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΡΑΝΙΤΗΣ ΙΩΑΝΝΗΣ του Δημοσθένη,Κ.Κ.Ε. (μ-λ),ΑΣΒΕΣΤΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευσταθίου,ΜΑΡΚΟΓΛΟΥ ΙΩΑΝΝΑ του Μιττάκου,ΝΟΥΡΗ ΟΓΛΟΥ ΝΤΑΜΛΑ του Γιουξέλ,ΧΑΤΖΗΣΑΒΒΑΣ ΣΤΕΦΑΝΟΣ του Αποστόλου,Ο.Κ.Δ.Ε.,ΝΤΟΥΡΟΥ ΕΛΕΥΘΕΡΙΑ του Θωμά,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΛΕΞΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Ευαγγέλου,ΠΡΟΔΡΟΜΙΔΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΣΑΡΙΔΑΚΗΣ ΜΑΤΘΑΙΟΣ του Τζαννή,Κίνημα 21,ΜΠΕΧΛΗ ΜΑΙΡΗ του Αθανασίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΓΑΛΑΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΑΝΑ ΖΩΗ του Γεωργίου,ΞΗΡΟΜΕΡΙΤΗ ΜΑΡΙΑ του Ιωάννη,ΝΙΚΗ,ΓΕΩΡΓΙΑΔΗΣ ΔΗΜΟΣΘΕΝΗΣ του Δημητρίου,ΠΑΠΑΧΑΤΖΗΣ ΝΙΚΟΛΑΟΣ του Σεβαστού,ΦΡΑΓΚΟΥ ΔΕΣΠΟΙΝΑ του Γεωργίου,κοινωνία αξιών,ΒΑΛΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημοσθένους,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΑΥΡΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΣΑΧΙΝΙΔΗΣ ΑΝΕΣΤΗΣ του Παναγιώτη,Ο.Α.Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΕΥΑΓΓΕΛΟΣ του Παναγιώτη,Μ-Λ Κ.Κ.Ε.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΝΝΑ του Παναγιώτη,Ελλήνων Συνέλευσις,ΣΙΜΙΤΑΣ ΑΔΑΜΑΝΤΙΟΣ του Χρήστου,ΤΟΤΙΕΦ ΕΙΡΗΝΗ του Σέργιου,ΧΑΣΑΠΗΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,Ένωση Κεντρώων,ΑΧΜΕΤ ΕΡΓΗΝ του Αλή,ΚΑΤΣΑΝΟΥ ΕΛΕΥΘΕΡΙΑ του Χαρίλαου,ΛΥΣΙΜΑΧΟΥ - ΜΕΝΤΕΣΙΔΟΥ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Θεοδώρου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΜΠΑΛΤΑΤΖΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΟΤΣΙΚΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΟΤΑΜΠΑΣΙΔΟΥ ΔΙΑΜΑΝΤΟΥΛΑ του Αθανασίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΤΣΙΒΙΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΤΣΟΡΜΠΑΤΖΟΓΛΟΥ ΜΑΡΙΑ του Κωνσταντίνου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΠΑΣΧΟΥ ΑΝΝΑ του Παναγιώτη,Οικολόγοι Πράσινοι,ΜΠΑΚΑΣ ΦΩΤΙΟΣ του Αθανασίου,ΕΑΝ...,ΛΑΜΨΙΔΗΣ ΓΑΒΡΙΗΛ του Θεοκλήτου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΣΚΛΗΝΟΣ ΙΩΑΝΝΗΣ του Ρίζου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΛΑΥΡΕΝΤΙΑΔΗΣ ΓΙΑΝΝΗΣ του Πέτρου
3 - Ξάνθης,97 E.T. Δήμου Μύκης,274,223,7,0,7,216,110,2,40,7,2,56,71,26,30,1,0,4,31,0,2,18,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,98 E.T. Δήμου Μύκης,426,320,2,0,2,318,165,3,43,23,0,90,112,17,84,0,3,1,35,0,1,20,12,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3 - Ξάνθης,99 E.T. Δήμου Μύκης,439,339,3,0,3,336,182,8,50,43,2,79,96,6,85,1,0,2,54,0,2,17,33,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3 - Ξάνθης,100 E.T. Δήμου Μύκης,443,333,1,3,4,329,151,4,32,30,0,81,107,21,76,1,0,0,64,1,14,19,25,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,101 E.T. Δήμου Μύκης,588,420,11,4,15,405,133,13,52,13,2,40,157,39,83,3,2,3,86,0,6,38,34,0,4,0,1,1,0,1,3,0,0,1,0,0,4,1,1,1,0,0,1,1,7,1,0,1,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3 - Ξάνθης,102 E.T. Δήμου Μύκης,606,402,9,9,18,384,117,5,49,10,4,45,167,48,96,0,0,2,82,0,0,37,31,3,5,0,0,0,0,1,3,0,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,103 E.T. Δήμου Μύκης,276,207,2,0,2,205,36,5,16,7,3,5,73,14,48,0,0,3,93,1,1,49,29,3,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,104 E.T. Δήμου Μύκης,414,248,3,2,5,243,84,12,46,5,11,7,99,1,93,0,0,0,54,0,0,40,12,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,105 E.T. Δήμου Μύκης,423,260,11,4,15,245,77,10,46,9,4,8,102,3,96,0,0,0,57,0,0,35,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3 - Ξάνθης,106 E.T. Δήμου Μύκης,401,238,11,3,14,224,65,11,40,5,2,3,110,3,95,0,0,2,37,1,0,24,12,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3 - Ξάνθης,107 E.T. Δήμου Μύκης,255,164,10,1,11,153,41,8,20,2,1,7,55,6,44,0,1,0,43,0,0,34,7,1,8,0,2,0,0,3,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,108 E.T. Δήμου Μύκης,496,199,7,0,7,192,50,6,27,0,7,9,84,3,73,2,1,1,55,0,0,20,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3 - Ξάνθης,109 E.T. Δήμου Μύκης,514,227,6,0,6,221,48,9,17,1,1,17,110,14,74,1,0,2,55,0,0,16,37,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,110 E.T. Δήμου Ξάνθης,490,293,16,1,17,276,94,0,0,20,23,49,65,29,4,2,15,6,32,5,18,0,0,9,14,5,0,1,3,1,25,2,6,9,2,0,6,2,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,4,1,1,0,10,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,3,0,0,3,1,2,1,1,1,2,1,4,0,0,0,3,2
3 - Ξάνθης,111 E.T. Δήμου Ξάνθης,471,265,14,0,14,251,99,0,0,31,15,48,44,29,2,2,4,4,26,8,2,2,1,12,10,2,0,1,1,4,27,2,5,12,3,0,3,0,0,1,0,2,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,3,1,0,1,10,9,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,6,6,1,1,0,0,3,2,1,0,2,0,1,0,1,1,8,8
3 - Ξάνθης,112 E.T. Δήμου Ξάνθης,485,268,7,3,10,258,87,1,0,17,18,43,42,27,0,0,6,6,30,6,6,7,0,7,12,4,1,1,3,1,33,3,5,16,2,0,11,4,0,3,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,14,7,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,2,1,0,0,0,4,1,2,1,1,1,6,6
3 - Ξάνθης,113 E.T. Δήμου Ξάνθης,480,293,3,4,7,286,83,0,0,22,5,46,41,25,2,1,5,6,24,6,10,0,0,7,18,3,4,1,0,8,32,2,8,17,2,0,10,5,0,0,0,3,9,8,1,0,0,0,1,0,0,1,1,0,0,5,4,1,0,1,0,20,14,0,2,1,0,1,1,0,0,0,2,1,3,1,2,0,1,0,0,0,0,2,1,10,7,3,2,0,0,1,0,2,1,5,3,1,1,0,0,9,8
3 - Ξάνθης,114 E.T. Δήμου Ξάνθης,475,279,11,1,12,267,94,1,0,19,25,41,51,28,2,0,1,12,26,6,6,1,1,10,12,2,0,0,2,4,31,3,4,13,4,0,10,3,0,1,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,2,0,10,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,5,3,1,1,1,0,1,1,1,1,1,1,1,0,3,1,7,3
3 - Ξάνθης,115 E.T. Δήμου Ξάνθης,470,267,12,2,14,253,80,0,0,15,13,48,60,25,12,1,9,8,32,3,4,7,0,17,7,1,0,2,1,3,25,3,3,12,5,0,9,4,0,2,0,2,3,3,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,1,1,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,2,2,2,3,2,2,0,2,2,0,0,7,5
3 - Ξάνθης,116 E.T. Δήμου Ξάνθης,541,337,10,3,13,324,81,11,16,4,13,27,152,18,60,2,29,30,49,1,0,29,17,0,12,0,8,2,0,1,6,1,1,0,1,1,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,2,0,0,3,2,2,2
3 - Ξάνθης,117 E.T. Δήμου Ξάνθης,521,296,10,4,14,282,65,7,22,4,11,19,145,21,66,1,14,28,48,3,3,29,10,1,8,2,4,0,0,1,6,1,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,2
3 - Ξάνθης,118 E.T. Δήμου Ξάνθης,522,326,16,2,18,308,78,5,17,11,19,24,132,35,38,0,17,29,49,3,8,25,10,1,11,3,2,0,0,5,6,1,1,2,1,0,10,3,5,0,0,0,6,6,0,0,0,0,0,0,0,2,0,0,1,1,0,2,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1
3 - Ξάνθης,119 E.T. Δήμου Ξάνθης,497,289,6,4,10,279,56,2,10,7,10,22,138,22,77,0,8,15,41,1,1,22,8,2,17,0,12,0,0,1,1,0,0,0,0,0,4,1,3,0,0,0,4,2,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1
3 - Ξάνθης,120 E.T. Δήμου Ξάνθης,534,355,17,3,20,335,97,6,18,17,8,45,161,10,97,3,22,22,47,0,3,34,6,0,16,2,9,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,1,1,1,0,0,1,0,0,0,3,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
3 - Ξάνθης,121 E.T. Δήμου Ξάνθης,508,270,6,3,9,261,60,6,23,3,8,17,115,6,67,1,8,24,54,2,5,26,14,2,7,0,4,0,0,0,2,0,0,2,0,0,4,2,1,0,0,0,3,3,1,0,0,0,1,1,0,2,1,0,0,1,1,1,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2
3 - Ξάνθης,122 E.T. Δήμου Ξάνθης,519,297,14,3,17,280,49,5,11,3,9,19,153,17,62,1,19,43,52,7,2,32,6,1,9,0,7,0,1,0,1,0,0,0,1,0,4,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,3,3
3 - Ξάνθης,123 E.T. Δήμου Ξάνθης,562,313,23,4,27,286,56,8,18,5,11,14,127,13,67,1,24,12,72,3,1,54,10,2,12,0,8,0,0,1,4,0,1,2,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,1
3 - Ξάνθης,124 E.T. Δήμου Ξάνθης,527,260,8,2,10,250,76,2,7,23,23,14,82,20,32,2,2,6,30,2,4,4,1,13,7,3,0,0,0,1,11,0,1,3,0,0,9,2,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1,1,1,0,0,0,0,1,1,2,1,0,0,3,1,0,0,0,0,5,3
3 - Ξάνθης,125 E.T. Δήμου Ξάνθης,541,206,1,0,1,205,58,1,4,15,25,10,76,29,19,0,4,11,21,4,7,3,0,6,7,2,1,1,0,1,11,0,3,5,2,0,5,0,0,3,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,9,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,3
3 - Ξάνθης,126 E.T. Δήμου Ξάνθης,539,256,11,2,13,243,63,6,4,16,16,17,116,19,46,0,2,19,23,2,2,12,4,1,1,0,1,0,0,0,7,5,0,0,1,0,2,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,6,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,0,0,1,0
3 - Ξάνθης,127 E.T. Δήμου Ξάνθης,536,348,8,0,8,340,146,1,5,42,43,40,67,35,5,2,7,10,37,4,12,4,0,15,13,4,0,0,0,4,16,4,2,7,1,0,12,4,0,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,1,4,2,6,2,3,0,9,7,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,4,1,0,2,1,1,0,3,3,10,4
3 - Ξάνθης,128 E.T. Δήμου Ξάνθης,537,259,18,1,19,240,104,1,9,20,25,39,69,20,19,3,4,11,22,4,4,4,0,7,9,3,0,1,0,1,5,0,1,2,0,0,7,4,0,2,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,3,2,0,0,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,4,1
3 - Ξάνθης,129 E.T. Δήμου Ξάνθης,534,317,7,0,7,310,109,1,4,40,34,25,74,21,28,3,4,5,47,4,8,17,5,10,8,4,0,0,1,2,10,3,1,1,2,0,12,1,0,5,1,3,2,2,2,1,1,0,0,0,0,0,0,0,0,2,2,6,2,1,0,8,6,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,5,3,2,2,3,2,0,0,0,0,12,4
3 - Ξάνθης,130 E.T. Δήμου Ξάνθης,535,343,5,1,6,337,138,3,13,45,35,29,67,17,34,2,3,4,41,8,7,10,5,8,18,4,1,2,1,6,24,3,3,15,1,0,11,4,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,2,2,0,0,0,0,3,0,1,0,0,0,1,1,1,1,12,9
3 - Ξάνθης,131 E.T. Δήμου Ξάνθης,539,243,18,2,20,223,68,7,12,16,12,18,91,23,40,1,6,5,29,1,0,22,2,2,2,0,0,1,0,0,4,0,0,2,0,1,4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,4,2,1,1,1,1,7,3
3 - Ξάνθης,132 E.T. Δήμου Ξάνθης,529,340,2,0,2,338,131,5,10,30,43,41,87,17,37,2,7,12,38,6,9,9,0,11,10,3,2,0,0,1,10,1,2,3,0,1,14,4,0,0,1,3,0,0,1,1,0,0,0,1,1,3,2,0,0,0,0,6,3,2,0,13,6,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,1,4,1,0,0,4,1,1,1,1,0,7,4
3 - Ξάνθης,133 E.T. Δήμου Ξάνθης,527,301,5,5,10,291,114,0,0,0,0,0,83,25,21,4,3,10,39,5,12,7,5,6,6,2,0,0,0,2,13,3,1,4,3,0,5,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,3,3,6,4
3 - Ξάνθης,134 E.T. Δήμου Ξάνθης,545,282,7,1,8,274,89,3,10,15,27,29,94,23,37,3,11,6,19,3,4,2,1,6,10,3,1,0,1,2,9,2,1,2,2,0,8,3,0,0,0,3,4,2,1,0,0,1,0,0,0,1,1,0,0,2,0,3,0,1,0,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,2,2,1,0,0,3,2,3,2,2,1,0,0,1,1,2,0,8,2
3 - Ξάνθης,135 E.T. Δήμου Ξάνθης,544,355,1,3,4,351,159,1,3,29,58,57,68,34,6,4,3,8,42,11,11,2,0,16,12,5,0,0,1,4,18,0,4,10,1,0,10,1,0,1,0,2,0,0,3,0,1,0,0,0,0,1,1,0,0,5,2,3,2,0,0,10,8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,0,2,2,0,0,0,0,9,3
3 - Ξάνθης,136 E.T. Δήμου Ξάνθης,546,220,10,1,11,209,62,0,8,21,9,20,82,9,34,2,13,12,18,1,3,1,1,7,4,2,0,0,1,1,11,3,3,2,1,0,10,2,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3
3 - Ξάνθης,137 E.T. Δήμου Ξάνθης,553,252,3,4,7,245,65,5,7,19,18,13,97,16,40,2,10,7,35,10,4,13,4,3,7,1,1,1,1,1,8,1,1,5,0,0,4,1,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,2,1,2,1,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,1,0,0,0,0,0,1,1,2,2,1,0,1,1,0,0,3,1
3 - Ξάνθης,138 E.T. Δήμου Ξάνθης,554,258,7,0,7,251,91,5,5,13,29,29,80,10,41,2,5,6,20,1,6,5,0,7,8,3,2,0,0,1,8,1,0,4,1,0,9,3,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,1,0,13,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,3,3,1,1,0,0,3,1
3 - Ξάνθης,139 E.T. Δήμου Ξάνθης,541,249,6,4,10,239,78,6,6,20,25,17,72,19,31,5,6,4,31,1,8,12,4,6,14,3,0,3,0,6,10,2,1,4,1,0,4,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,5,5,2,0,1,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,0,2,2,1,1,0,0,1,1,0,0,0,0,5,2
3 - Ξάνθης,140 E.T. Δήμου Ξάνθης,518,253,8,2,10,243,68,3,5,14,15,27,81,25,34,3,7,5,34,8,6,9,3,8,8,2,0,1,2,0,15,0,1,4,3,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,5,0,1,0,11,9,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,2,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,3,3
3 - Ξάνθης,141 E.T. Δήμου Ξάνθης,531,314,8,4,12,302,125,2,4,33,33,49,49,21,6,3,9,6,32,5,8,8,1,9,20,8,0,0,5,3,14,0,4,6,3,0,10,3,0,1,1,2,3,2,1,0,0,0,0,0,0,2,0,1,1,2,1,3,2,1,0,8,6,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,4,0,1,0,2,2,3,0,0,0,4,2,0,0,5,3,10,5
3 - Ξάνθης,142 E.T. Δήμου Ξάνθης,542,200,1,0,1,199,47,1,2,16,11,14,81,22,20,2,3,14,29,12,6,8,0,1,5,1,2,0,0,1,6,1,1,3,0,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0,2,0,2,0,6,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,1,0,4,3,1,0,0,0,0,0,0,0,1,1
3 - Ξάνθης,143 E.T. Δήμου Ξάνθης,544,218,18,1,19,199,45,5,5,5,10,16,81,24,33,4,3,4,35,3,2,18,2,8,7,0,0,0,1,1,8,1,1,3,1,0,4,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,3,2
3 - Ξάνθης,144 E.T. Δήμου Ξάνθης,537,216,12,1,13,203,49,2,6,14,16,4,81,19,40,1,0,9,25,3,4,9,3,3,5,1,0,0,0,0,9,0,2,4,2,0,4,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,0,2,0,2,1,1,0,0,0,0,0,1,0,1,1,3,2,6,4
3 - Ξάνθης,145 E.T. Δήμου Ξάνθης,548,305,6,0,6,299,109,6,10,34,28,30,86,19,32,2,16,5,36,4,6,9,7,7,10,1,1,0,1,3,17,1,1,11,1,0,9,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,7,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,3,2,0,0,1,1,1,1,1,1,2,1,0,0,0,0,9,5
3 - Ξάνθης,146 E.T. Δήμου Ξάνθης,554,293,5,2,7,286,94,7,4,18,29,31,88,15,38,4,6,14,41,1,1,22,4,12,6,0,0,0,0,2,15,1,5,6,1,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,4,0,2,0,9,8,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,2,0,14,7
3 - Ξάνθης,147 E.T. Δήμου Ξάνθης,540,312,10,3,13,299,116,1,9,26,28,46,61,21,20,4,7,3,36,12,9,2,4,5,9,3,2,0,3,1,15,0,0,8,3,1,18,5,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,2,0,14,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,2,1,1,1,1,1,3,3,1,1,2,0,1,0,0,0,8,5
3 - Ξάνθης,148 E.T. Δήμου Ξάνθης,536,277,4,1,5,272,86,6,11,10,33,19,90,25,48,1,3,5,24,2,5,5,2,9,14,2,1,0,0,3,7,1,2,0,2,0,7,2,1,1,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,3,1,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,4,2,1,0,1,1,6,4
3 - Ξάνθης,149 E.T. Δήμου Ξάνθης,536,245,3,2,5,240,76,8,7,23,19,14,87,23,46,0,5,7,30,6,3,11,2,8,4,0,3,0,0,1,3,0,1,0,1,0,4,0,1,0,0,1,1,0,3,0,0,3,0,0,0,0,0,0,0,1,1,3,0,1,0,16,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,3,0,0,1,0,0,0,0,0,1,0,5,4
